,id,tweet_id,text,tag,date,partition
857,746,380851036652834816,they said #death ! likely death toll in colorado floods rises to at least nine - reuters <URL> #follow ,Related and informative,Fri Sep 20 00:28:57 +0000 2013,train
858,747,380862973608087553,"colorado flooding imperils oil and gas sites , causes spill <URL> via <USR> ",Related and informative,Fri Sep 20 01:16:23 +0000 2013,train
859,748,380864475198259200,here ' s coverage in audubon magazine of the effects on birdlife of the recent flooding in northeastern colorado : http :/ … ,Related and informative,Fri Sep 20 01:22:21 +0000 2013,train
860,749,380866853348061184,the disaster distress helpline 1 - 800-985-5990 provides crisis counseling to people affected by flooding . #coflood <URL> ,Related and informative,Fri Sep 20 01:31:48 +0000 2013,train
861,750,380872947667566592,"volunteers began helping victims of the #coflood yesterday . we still need volunteers , you can sign up here : <URL> ",Related and informative,Fri Sep 20 01:56:01 +0000 2013,train
862,751,380875954987356160,bbc : colorado flood death toll rises : the death toll from the historic flooding that hit colorado last week ri . . . <URL> ,Related and informative,Fri Sep 20 02:07:58 +0000 2013,train
863,752,380876428964671489,"colorado flood death toll rises : the death toll from the historic flooding that hit colorado last week rises to seven , as state offic . . . ",Related and informative,Fri Sep 20 02:09:51 +0000 2013,train
864,753,380876445737697283,#teamfollowasap * colorado flood death toll rises : the death toll from the historic flooding that h . . . <URL> <USR> ,Related and informative,Fri Sep 20 02:09:55 +0000 2013,train
865,754,380881982202601472,<USR> colorado flood death toll rises : the death toll from the historic flooding that hit c . . . <URL> … ,Related and informative,Fri Sep 20 02:31:55 +0000 2013,train
866,755,380884779811753984,silent auction & awesome support for #coflood relief ! w / <USR> <USR> <USR> <USR> … <URL> ,Related and informative,Fri Sep 20 02:43:02 +0000 2013,train
867,756,380885417358524416,"volunteers began helping victims of the #coflood yesterday . we still need volunteers , sign up : <URL> ",Related and informative,Fri Sep 20 02:45:34 +0000 2013,train
868,757,380890362442563584,digitalglobe takes a close look at colorado floods <URL> ,Related and informative,Fri Sep 20 03:05:13 +0000 2013,train
869,758,380902047773884416,mt <USR> : toppled oil tanks spill into colorado rivers #coflood <URL> ,Related and informative,Fri Sep 20 03:51:39 +0000 2013,train
870,759,380907122881351681,please check out opportunities to volunteer tomorrow ( friday ) in boulder and longmont : <URL> #boulderflood ,Related and informative,Fri Sep 20 04:11:49 +0000 2013,train
871,760,380915150770823169,"officials : some #boulder roads will be closed for weeks , months , longer . #boulderflood <URL> via <USR> ",Related and informative,Fri Sep 20 04:43:43 +0000 2013,train
