,id,tweet_id,text,tag,date,partition
620,733,355476948652273664,"une personne seule pour un train , c ' est totalement courir apres les désastres ! #lacmegantic ",Related - but not informative,Fri Jul 12 00:01:23 +0000 2013,train
621,734,355489783256064000,tonite : more bodies recovered in #lacmegantic & talks turn to the environmental consequences . plus the 911 call from th … ,Related and informative,Fri Jul 12 00:52:23 +0000 2013,train
622,735,355494875107573762,"railway ceo : they wanted to stone me : edward burkhardt says he wants residents of lac - megantic , quebec , to und . . . <URL> ",Related - but not informative,Fri Jul 12 01:12:37 +0000 2013,train
623,736,355500042494287873,"ni trop tard ni récupération , pauline marois a fait exactement ce qu ' elle devait faire aujourd ' hui à #lacmegantic #assnat ",Related - but not informative,Fri Jul 12 01:33:09 +0000 2013,train
624,737,355500390613131264,"quebec ' s lac - mégantic oil train disaster not just tragedy , but corporate crime <URL> via <USR> ",Related and informative,Fri Jul 12 01:34:32 +0000 2013,train
625,738,355501887992250369,"the lac - megantic train engineer : lac - megantic , que . – his face gripped with terror , the train driver sprang out of . . . <URL> ",Related and informative,Fri Jul 12 01:40:29 +0000 2013,train
626,739,355510134019080192,la première ministre pauline marois chaudement accueillie à lac mégantic : <URL> #assnat #polqc #solidarité ,Related and informative,Fri Jul 12 02:13:15 +0000 2013,train
627,740,355513099375214593,the mounties are now part of the lac mégantic probe and a mystery now surrounds the intact tank cars <URL> ,Related and informative,Fri Jul 12 02:25:02 +0000 2013,train
628,741,355523614503735299,soyons solidaires . . . . pour les gens du lac - megantic . donnez à la croix - rouge . <URL> ,Related - but not informative,Fri Jul 12 03:06:49 +0000 2013,train
629,742,355535845094207489,"lac - mégantic hit by greed , deregulation & energy rush driving companies to gamble with environment & human life http :// t . … ",Related and informative,Fri Jul 12 03:55:25 +0000 2013,train
630,743,355541054419779586,la première ministre pauline marois chaudement accueillie à lac mégantic : <URL> #assnat #polqc #solidarité ,Related and informative,Fri Jul 12 04:16:07 +0000 2013,train
631,744,355544946712915968,<USR> regarde le parc des vétérans ( en partie ) avant . #lacmégantic <URL> ,Related - but not informative,Fri Jul 12 04:31:35 +0000 2013,train
632,745,355549287838531585,"in ep58 , we run down the tragedy in lac - megantic & why the conversation in #msm is hardly ever about #oil : https://t.co/ntoawbyrog #cdnpoli ",Related - but not informative,Fri Jul 12 04:48:50 +0000 2013,train
633,746,355558511113015296,#gescrise : utilisez les médias sociaux l ' exemple de l ’ explosion du train survenu à #lacmegantic ( québec ) #msgu http :// … ,Related - but not informative,Fri Jul 12 05:25:29 +0000 2013,train
634,747,355560864088207360,la catastrophe du #lacmégantic rappelle cruellement que privatisation et autoréglementation font rarement bon ménage http :// t . … ,Related - but not informative,Fri Jul 12 05:34:50 +0000 2013,train
635,748,355563611361525760,24 bodies found in quebec train crash <URL> ,Related and informative,Fri Jul 12 05:45:45 +0000 2013,train
636,749,355592514339749888,"the death toll from the quebec train explosion rises to 24 ; dozens more missing and presumed dead , authorities say . <URL> ",Related and informative,Fri Jul 12 07:40:36 +0000 2013,train
637,750,355634373464297472,"the death toll from the quebec train explosion rises to 24 ; dozens more missing and presumed dead , authorities say . <URL> ",Related and informative,Fri Jul 12 10:26:56 +0000 2013,train
638,751,355642724340334594,"my take : quebec ' s #lacmegantic oil train disaster not just tragedy , but corporate crime <URL> #cdnpoli ",Related and informative,Fri Jul 12 11:00:07 +0000 2013,train
639,752,355643999425536001,"#lacmegantic clean up to take months , cost millions . listen to the story so far at <URL> #montrealatthemo … ",Related and informative,Fri Jul 12 11:05:11 +0000 2013,train
640,753,355646432113467392,"#lacmegantic : la dame de béton et la dame de granit , côte à côte , dans la caricature de <USR> : <URL> ",Related - but not informative,Fri Jul 12 11:14:51 +0000 2013,train
641,754,355648340500807680,l ' image aux infos de notre pm et de la mairesse de lac mégantic se tenant par la main me fait rêver à + de pouvoir pour l … ,Related - but not informative,Fri Jul 12 11:22:26 +0000 2013,train
642,755,355648550241189888,"“ <USR> : #lacmégantic mma : à ottawa , lebel refuse d ' intervenir . dans <USR> <URL> ",Related and informative,Fri Jul 12 11:23:16 +0000 2013,train
643,756,355649699463696384,lac - megantic : pictured : the 93 - year - old mother named as the first victim of the quebec train derailment <URL> ,Related and informative,Fri Jul 12 11:27:50 +0000 2013,train
644,757,355662194307907584,these are the lost of lac - mégantic <URL> ,Related and informative,Fri Jul 12 12:17:29 +0000 2013,train
645,758,355676102624149504,lac - megantic tragedy cannot be undone but can be solved . ceo of railway again shows why crisis mgmt pro ' s need to be hired . every1 suffers ,Related and informative,Fri Jul 12 13:12:45 +0000 2013,train
646,759,355676568183508993,#lacmegantic is so sad . only thing sadder is no constructive action that results in protecting all of us . #science #design #cdnpoli #safety ,Related - but not informative,Fri Jul 12 13:14:36 +0000 2013,train
647,760,355679353184600065,canada : police : 24 bodies now found in quebec train crash abc says higher : canada train … <URL> ,Related and informative,Fri Jul 12 13:25:40 +0000 2013,train
648,761,355699745903218689,tc transcontinental se joint à l ' élan de solidarité envers la communauté de lac - mégantic <URL> ,Related and informative,Fri Jul 12 14:46:42 +0000 2013,train
649,762,355717160661823488,quebec train crash is awful but can we be 100% sure there isn ' t an almost dead soldier trying to stop a bigger mess w / his mind ? #sourcecode ,Related - but not informative,Fri Jul 12 15:55:54 +0000 2013,train
650,763,355717680734543872,new blog post : lac - mégantic inferno was caused by a rail shipment of shale oil - who needs fracking in the uk . . . <URL> ,Related and informative,Fri Jul 12 15:57:58 +0000 2013,train
651,764,355727575101882368,could catastrophic oil train accident happen in sask ? uofs transport economist james nolan <USR> #lacmegantic <URL> ,Related - but not informative,Fri Jul 12 16:37:17 +0000 2013,train
652,765,355733010924056579,#lacmegantic : la dame de béton et la dame de granit de <USR> <URL> ( via <USR> ) http :// … ,Related - but not informative,Fri Jul 12 16:58:53 +0000 2013,train
653,766,355734546030936065,wtf une semaine après la tragédie de lac - mégantic y viens d ' avoir un déraillement d ' un train de passager en france . . . … ,Related - but not informative,Fri Jul 12 17:04:59 +0000 2013,train
654,767,355737989558714369,je serai du spectacle bénéfice le 22 juillet à lavaltrie ! ! #lacmegantic ,Not related,Fri Jul 12 17:18:40 +0000 2013,train
655,768,355747330277900288,lac mégantic : il est temps de sortir les journalistes et les politiciens de là et d ' amener les compagnies de construction ! ,Related - but not informative,Fri Jul 12 17:55:47 +0000 2013,train
656,769,355749049934155776,"#lacmegantic entendu . . . - 2 camions de nourriture de toutes sortes , allez là - bas et vite ! ! ! ! ! ! ! ",Related - but not informative,Fri Jul 12 18:02:37 +0000 2013,train
657,770,355756251570896897,. <USR> has written the best piece yet on the #lacmegantic oil train disaster <URL> … #cdnpoli ,Related and informative,Fri Jul 12 18:31:14 +0000 2013,train
658,771,355762085839376384,"the canadian auto workers union has donated $25,000 to the canadian red cross to help support efforts in the lac - mégantic train derailment . ",Related and informative,Fri Jul 12 18:54:25 +0000 2013,train
659,772,355762303955763202,faces of the lac - mégantic tragedy : in the days since the deadly train derailment and explosions that rocked th . . . <URL> ,Related - but not informative,Fri Jul 12 18:55:17 +0000 2013,train
660,773,355776505852342273,"c ' est parti : tous les magasins demandent aux caisses des dons pour #lacmegantic . . . pourtant , pauline adébloqué 6 0 m $ #creditdimpots #assnat ",Related and informative,Fri Jul 12 19:51:43 +0000 2013,train
661,774,355777822884769792,important : vous pouvez suivre le déroulement des événements et les nouvelles de lac - mégantic la radio cjit fm 106.7 <URL> ,Related and informative,Fri Jul 12 19:56:57 +0000 2013,train
662,775,355781350260867072,"<USR> rt ! à tous qui ne peuvent assister à une veillée , je suggère de mettre une chandelle à la fenêtre ce soir ? #lacmégantic ",Related - but not informative,Fri Jul 12 20:10:58 +0000 2013,train
663,776,355789155860627456,<USR> sur la gestion environnementale de la catastrophe de #lacmegantic à #letedumonde ,Related - but not informative,Fri Jul 12 20:41:59 +0000 2013,train
664,777,355790246383861761,"28 people now confirmed dead in lac - megantic , quebec , train carnage <URL> ",Related and informative,Fri Jul 12 20:46:19 +0000 2013,train
665,778,355801914966933505,ceo at center of deadly quebec train derailment provides textbook example of . . . - daily mail <URL> ,Related - but not informative,Fri Jul 12 21:32:41 +0000 2013,train
666,779,355812765610422273,priest in #lacmegantic : 50 peals of the bell at st - agnes church saturday at noon followed by moment of silence ,Related - but not informative,Fri Jul 12 22:15:48 +0000 2013,train
667,780,355813076014071808,tragédie à lac - mégantic : des élus municipaux se concertent pour proposer des mesures à québec <URL> ,Related - but not informative,Fri Jul 12 22:17:02 +0000 2013,train
668,781,355814325887315968,"quebec oil train disaster , barrett brown ' s imprisonment , #pelicanbay #hungerstrikes , today on #citizenradio <URL> ",Related - but not informative,Fri Jul 12 22:22:00 +0000 2013,train
669,782,355814384620158976,"quebec oil train disaster , barrett brown ' s imprisonment , #pelicanbay #hungerstrikes , today on #citizenradio <URL> ",Related and informative,Fri Jul 12 22:22:14 +0000 2013,train
670,783,355814636282580992,"quebec oil train disaster , barrett brown ' s imprisonment , #pelicanbay #hungerstrikes , today on #citizenradio <URL> ",Related - but not informative,Fri Jul 12 22:23:14 +0000 2013,train
671,784,355815508697812992,"quebec oil train disaster , barrett brown ' s imprisonment , #pelicanbay #hungerstrikes , today on #citizenradio <URL> ",Related and informative,Fri Jul 12 22:26:42 +0000 2013,train
672,785,355818331451834369,environ 200 résidents ne savent pas quand ils rentreront chez eux . #lacmégantic ,Related and informative,Fri Jul 12 22:37:55 +0000 2013,train
673,786,355820223095517187,perte du chemin de fer à lac - mégantic - des entreprises paralysées <URL> ,Related - but not informative,Fri Jul 12 22:45:26 +0000 2013,train
674,787,355831077937496065,faites don des déchets de cheveux de votre salon pour absorber le pétrole déversé au #lacmegantic envoyez un dm <USR> … ,Related and informative,Fri Jul 12 23:28:34 +0000 2013,train
675,788,355833825223393281,conservatives refuse review of critical audit of transport canada following lac - megantic disaster <URL> ,Related and informative,Fri Jul 12 23:39:29 +0000 2013,train
676,789,355838728368959489,<USR> it would be amazing if hnic did a show in support of lac megantic in the region ! <USR> <USR> <USR> ,Not related,Fri Jul 12 23:58:58 +0000 2013,train
507,911,358014859083923457,"federal aid is coming to #lacmegantic but when , how much and how it will be spent is not clear <URL> ",Related and informative,Fri Jul 19 00:06:08 +0000 2013,train
508,912,358045490115391488,je souhaite que la tragédie de #lacmégantic va conscientisé les compagnies de transport que des matières dangereuses . ( c ' est sérieux ! ) ,Related and informative,Fri Jul 19 02:07:51 +0000 2013,train
509,913,358060405056221186,#gatineau précise sont aide à #lac-mégantic <URL> ,Related - but not informative,Fri Jul 19 03:07:07 +0000 2013,train
510,914,358064439976660992,réflexion intelligente et sensible d ' élizabeth may sur la tragédie du #lacmégantic . #pvq #pvc <URL> ,Related - but not informative,Fri Jul 19 03:23:09 +0000 2013,train
511,915,358071364772564993,leadnow : help protect our communities from dangerous fuel transport <URL> #lacmegantic #cdnpoli via <USR> ,Related and informative,Fri Jul 19 03:50:40 +0000 2013,train
512,916,358087319884009472,#lacmégantic #obama exprime ses sympathies dans une lettre : <URL> ,Related - but not informative,Fri Jul 19 04:54:04 +0000 2013,train
