,id,tweet_id,text,tag,date,partition
848,949,408748321424310272,prosecutors face tough choices in nyc derailment <URL> #usa #economy ,Related and informative,Fri Dec 06 00:02:48 +0000 2013,train
849,950,408753220379361280,from <USR> new york ’ s train derailment is a reminder of the importance of sleep health policy <URL> ,Related and informative,Fri Dec 06 00:22:16 +0000 2013,train
850,951,408767317427126272,new video : <URL> we challenge your god loves everyone lie w / current events #walker #glasgow #nyctrain cc : <USR> … ,Related - but not informative,Fri Dec 06 01:18:17 +0000 2013,train
851,952,408769448124760064,* new york ’ s train derailment is a reminder of the importance of sleep health policy | <USR> <URL> ,Related and informative,Fri Dec 06 01:26:45 +0000 2013,train
852,953,408778692383350785,"new york train crash could have been prevented , feinstein says <URL> ",Related and informative,Fri Dec 06 02:03:29 +0000 2013,train
853,954,408894681657774080,new york ’ s train derailment is a reminder of the importance of sleep health policy - <USR> <URL> ,Related and informative,Fri Dec 06 09:44:23 +0000 2013,train
854,955,408926831019311104,<USR> time - lapse of #metronorth track repair . <URL> from window overlooking site of sunday ’ s deadly train crash ,Related and informative,Fri Dec 06 11:52:08 +0000 2013,train
855,956,408928483545722880,<USR> time - lapse of #metronorth track repair . <URL> from window overlooking site of sunday ’ s deadly train crash ,Related and informative,Fri Dec 06 11:58:42 +0000 2013,train
856,957,409039024427241472,#breaking : fed gov ' t issues emergency order to #metronorth after deadly derailment . . increase staffing & modify speed limit signs . <USR> ,Related and informative,Fri Dec 06 19:17:57 +0000 2013,train
857,958,409042602173165568,breaking : metro - north ordered to modify signal system in wake of new york crash . <URL> ,Related and informative,Fri Dec 06 19:32:10 +0000 2013,train
858,959,409044774826811392,"metro - north derailment : william rockefeller , engineer , suspended | <URL> <USR> #newyork #trainaccident #person … ",Related and informative,Fri Dec 06 19:40:48 +0000 2013,train
859,960,409051116626657281,correction : nyc train derailment story <URL> ,Related and informative,Fri Dec 06 20:06:00 +0000 2013,train
860,961,409051435376979968,funerals held for 2 more nyc derailment victims - abc news : funerals held for 2 more nyc derailment victimsabc . . . <URL> ,Related and informative,Fri Dec 06 20:07:16 +0000 2013,train
861,962,409063821181861888,new post : metro - north railroad slapped with emergency order after new york crash <URL> ,Related and informative,Fri Dec 06 20:56:29 +0000 2013,train
862,963,409075380687888385,"after fatal crash , metro - north is ordered to make safety changes - new york times <URL> ",Related and informative,Fri Dec 06 21:42:25 +0000 2013,train
863,964,409083710576029696,nyc train crash prompts feds to require more conductors <URL> ,Related and informative,Fri Dec 06 22:15:31 +0000 2013,train
864,965,409086030000578560,metro - north ordered to put extra crew on some trains until signals upgraded following fatal derailment . <URL> ,Related and informative,Fri Dec 06 22:24:44 +0000 2013,train
865,966,409102752711581696,metro - north railroad slapped with emergency order after new york crash : ,Related and informative,Fri Dec 06 23:31:11 +0000 2013,train
866,967,409103109223247872,metro - north railroad slapped with emergency order after new york crash <URL> ,Related and informative,Fri Dec 06 23:32:36 +0000 2013,train
517,498,407299168420372480,fdny hard at work after today ' s train derailment in nyc . everyone is in our thoughts & prayers ! <URL> ,Related - but not informative,Mon Dec 02 00:04:23 +0000 2013,train
518,499,407299780776169472,#bloomberg mia after metro north crash ? ? ,Related - but not informative,Mon Dec 02 00:06:49 +0000 2013,train
519,500,407299789190352896,"latest on nyc train derailment : 4 dead , 63 injured , 11 critically . full story : <URL> <URL> ",Related and informative,Mon Dec 02 00:06:51 +0000 2013,train
520,501,407299956957908992,"photos : new york city train derailment kills 4 , injures dozens <URL> <URL> ",Related and informative,Mon Dec 02 00:07:31 +0000 2013,train
521,502,407301508846600192,"stories from the er , those injured during metro north derailment , at 6 <URL> ",Related and informative,Mon Dec 02 00:13:41 +0000 2013,train
522,503,407301533995642880,sending love & healing vibes to all affected by today ' s metro - north train derailment in the bronx . . . ❤️ ❤️ ❤️ ,Related - but not informative,Mon Dec 02 00:13:47 +0000 2013,train
523,504,407301554988150784,"train derailment in new york city leaves four dead , dozens injured ; ntsb investigating via <USR> #politics http :// … ",Related and informative,Mon Dec 02 00:13:52 +0000 2013,train
524,505,407302070887542784,"train derailment in new york city leaves four dead , dozens injured ; ntsb investigating via <USR> #politics http :// … ",Related and informative,Mon Dec 02 00:15:55 +0000 2013,train
525,506,407303069144453120,rob astorino : one of the four people who were killed in sunday ' s metro - north derailment was from westchester county . http :// t … ,Related and informative,Mon Dec 02 00:19:53 +0000 2013,train
526,507,407303434019160064,#breaking : three victims identified in deadly metro - north train derailment <URL> ,Related and informative,Mon Dec 02 00:21:20 +0000 2013,train
527,508,407303597609582592,my prayers are with the people of new york affected by the deadly train derailment : <URL> via <USR> … ,Related - but not informative,Mon Dec 02 00:21:59 +0000 2013,train
528,509,407304637796990976,"ap photos : nyc train derailment kills at least 4 passengers , injures dozens : <URL> - rjj ",Related and informative,Mon Dec 02 00:26:07 +0000 2013,train
529,510,407304725894148097,"<USR> nyc train derailment kills 4 , hurts more than 60 : nyc train derailment kills 4 , hurts more than 60 . . . <USR> ",Related and informative,Mon Dec 02 00:26:28 +0000 2013,train
530,511,407304730059091968,"<USR> nyc train derailment kills 4 , hurts more than 60 : nyc train derailment kills 4 , hurts more than 60 . . . <USR> ",Related and informative,Mon Dec 02 00:26:29 +0000 2013,train
531,512,407304755250098177,"<USR> nyc train derailment kills 4 , hurts more than 60 <USR> ",Related and informative,Mon Dec 02 00:26:35 +0000 2013,train
532,513,407305308902797312,sunday ’ s deadly derailment of a metro - north train in nyc marks the second incident in eight months : <URL> ,Related and informative,Mon Dec 02 00:28:47 +0000 2013,train
533,514,407305682191257600,obama offers prayers for victims of new york city train derailment <URL> via <USR> ,Related - but not informative,Mon Dec 02 00:30:16 +0000 2013,train
534,515,407305707349106688,"new york derailment kills 4 , hurts dozens - cnn international - <URL> ",Related and informative,Mon Dec 02 00:30:22 +0000 2013,train
535,516,407307250835804162,"new york train derailment kills four , injures 63 <URL> ",Related and informative,Mon Dec 02 00:36:30 +0000 2013,train
536,517,407308928582557696,"new york train derailment kills four , injures 63 #preppersguide <URL> ",Related and informative,Mon Dec 02 00:43:10 +0000 2013,train
