,id,tweet_id,text,tag,date,partition
244,178,327572781044752386,bangladesh factory ignored evacuation order day before collapse - huffington post : <URL> ,Related and informative,Fri Apr 26 00:00:11 +0000 2013,train
245,179,327577893884542977,#savar update : 270 dead so far ; 213 dead bodies are handed over to relatives ; many survivors still trapped inside . #shahba … ,Related and informative,Fri Apr 26 00:20:30 +0000 2013,train
246,180,327583610708299776,"day after cracks were found , bangladesh factory collapse leaves 125 - plus dead <URL> ",Related and informative,Fri Apr 26 00:43:13 +0000 2013,train
247,181,327593274384736257,40 found alive in deadly bangladesh building collapse <URL> ,Related and informative,Fri Apr 26 01:21:37 +0000 2013,train
248,182,327597439357968384,death toll from bangladesh building collapse climbs to over 200 - latime . . . <URL> #bangladesh #bdnews ( via <USR> ) ,Related and informative,Fri Apr 26 01:38:10 +0000 2013,train
249,183,327604208956223488,distance is arbitrary . connection is the true state of being . #bangladesh death toll is now 200 + . let ' s keep focus . . . . ,Related and informative,Fri Apr 26 02:05:04 +0000 2013,train
250,184,327611804832374784,death toll surges at bangladesh garment factory collapse <URL> ,Related and informative,Fri Apr 26 02:35:15 +0000 2013,train
251,185,327621661438398465,"<USR> toll in bangladesh building collapse climbs to 275 : savar , bangladesh ( ap ) — save us , brother . i beg you , brother . . . <USR> ",Related and informative,Fri Apr 26 03:14:25 +0000 2013,train
252,186,327621778887307265,"<USR> toll in bangladesh building collapse climbs to 275 : savar , bangladesh ( ap ) — save us , brother . i beg you , brother . . . <USR> ",Related and informative,Fri Apr 26 03:14:53 +0000 2013,train
253,187,327621896315228160,"<USR> toll in bangladesh building collapse climbs to 275 : savar , bangladesh ( ap ) — save us , brother . i beg you , brother . . . <USR> ",Related and informative,Fri Apr 26 03:15:21 +0000 2013,train
254,188,327622097633415168,"<USR> toll in bangladesh building collapse climbs to 275 : savar , bangladesh ( ap ) — save us , brother . i beg you , brother . . . <USR> ",Related and informative,Fri Apr 26 03:16:09 +0000 2013,train
255,189,327624710714179585,el edificio que se desplomó en #bangladesh da la sensación de una estructura sin criterio . <URL> ,Not related,Fri Apr 26 03:26:32 +0000 2013,train
256,190,327637834699796480,"45 mangsa runtuhan bangunan di savar berjaya diselamatkan : savar , bangladesh 26 april - pasukan penyelamat ber . . . <URL> ",Not applicable,Fri Apr 26 04:18:41 +0000 2013,train
257,191,327644541387698176,<URL> toll in bangladesh building collapse climbs to . . ,Related and informative,Fri Apr 26 04:45:20 +0000 2013,train
258,192,327650543415742464,collapsed factory was built without permit <URL> in - depth reporting from <USR> <USR> on #savar tragedy ,Related and informative,Fri Apr 26 05:09:11 +0000 2013,train
259,193,327653441667211264,bangladesh building collapse <URL> ,Related and informative,Fri Apr 26 05:20:42 +0000 2013,train
260,194,327678804661239808,#bangladesh factory tragedy rescue chief says #dhaka building ' s death toll is now 290 | #aljazeeraenglish | #aje <URL> ,Related and informative,Fri Apr 26 07:01:29 +0000 2013,train
261,195,327679282811908096,#bangladesh factory tragedy rescue chief says #dhaka building ' s death toll is now 290 | #aljazeeraenglish | #aje <URL> ,Related and informative,Fri Apr 26 07:03:23 +0000 2013,train
262,196,327686350205775872,toll in bangladesh building collapse climbs to 290 <URL> ,Related and informative,Fri Apr 26 07:31:28 +0000 2013,train
263,197,327686396317949952,toll in bangladesh building collapse climbs to 290 <URL> ,Related and informative,Fri Apr 26 07:31:39 +0000 2013,train
264,198,327693631488131072,urgent attention : drug store owners at mitford hospital & at bma ; please keep the stores open on weekends ; people are dying . #savar #shahbag ,Not related,Fri Apr 26 08:00:24 +0000 2013,train
265,199,327699839058055170,#business factories inside collapsed building in bangladesh - the collapse of a building housing garment factories . . . <URL> ,Related and informative,Fri Apr 26 08:25:04 +0000 2013,train
266,200,327707409797754880,the high cost of our cheap clothes : the sad fact behind the building collapse in bangladesh in whch hundreds d . . . <URL> ,Related and informative,Fri Apr 26 08:55:09 +0000 2013,train
267,201,327709209158369280,285 dead in bangladesh collapse : the death toll from the building collapse near the bangladeshi capital of dha . . . <URL> ,Related and informative,Fri Apr 26 09:02:18 +0000 2013,train
268,202,327709628601356289,the high cost of our cheap clothes : the sad fact behind the building collapse in bangladesh in whch hundreds d . . . <URL> ,Related and informative,Fri Apr 26 09:03:58 +0000 2013,train
269,203,327714586247704577,"protesters demand action against factory owners for nearly 300 deaths , while hundreds remain missing amid the rubble . #bangladesh ",Related and informative,Fri Apr 26 09:23:40 +0000 2013,train
270,204,327716121371357185,dying for some new clothes : bangladesh ’ s rana plaza tragedy : if the world wants an image that sums up the true . . . <URL> ,Related and informative,Fri Apr 26 09:29:46 +0000 2013,train
271,205,327717698429661184,die ingestorte #textielfabriek in #bangladesh ( 187 doden ) toont wederom de noodzaak van #fairtrade kleding : <URL> ,Related and informative,Fri Apr 26 09:36:02 +0000 2013,train
272,206,327720667988508672,what could be the best way to avoid an incident like the one in savar in bangladesh ? ? ? ? ? ? ? ? ? suggest . . your suggestion is valuable . . ,Related and informative,Fri Apr 26 09:47:50 +0000 2013,train
273,207,327723197162209280,race against time at bangladesh factory building collapse site <URL> #followback ,Related - but not informative,Fri Apr 26 09:57:53 +0000 2013,train
274,208,327729744483319808,pictures : dozens rescued but #bangladesh building toll soars towards 300 <URL> <URL> ,Related and informative,Fri Apr 26 10:23:54 +0000 2013,train
275,209,327729849340928001,#libdem champion 271 dead in bangladesh building collapse : the death toll from wednesday ' . . . <URL> #rochdale #oldham #6 ,Related and informative,Fri Apr 26 10:24:19 +0000 2013,train
276,210,327730843365814272,#savar update : death toll rises to 304 ; today rescuers pulled out 72 survivors from the collapsed building . #bangladesh #shahbag ,Related and informative,Fri Apr 26 10:28:16 +0000 2013,train
277,211,327734014259625984,"in bangladesh , search for building collapse survivors presses on : officials in bangladesh say at least . . . <URL> #dallas ",Related and informative,Fri Apr 26 10:40:52 +0000 2013,train
278,212,327735981396598785,member post : weep for the bangladesh building collapse <URL> ,Related and informative,Fri Apr 26 10:48:41 +0000 2013,train
279,213,327736333697167361,<USR> primark ( uk ) & walmart ( us ) profit first exploitation 290 dead bangladesh collapse <URL> <URL> ,Related and informative,Fri Apr 26 10:50:05 +0000 2013,train
280,214,327736572801851394,#news behind bangladesh ' s rana plaza tragedy <URL> ,Related and informative,Fri Apr 26 10:51:02 +0000 2013,train
281,215,327736597938319360,<USR> <USR> primark ( uk ) & walmart profit first exploitation 290 dead bangladesh collapse <URL> <URL> ,Related and informative,Fri Apr 26 10:51:08 +0000 2013,train
282,216,327741777907970048,bangladesh collapse : what cost cheap clothes ? : <URL> ,Not related,Fri Apr 26 11:11:43 +0000 2013,train
283,217,327744768459304960,toll in bangladesh building collapse passes 300 <URL> [ jakarta post ] ,Related and informative,Fri Apr 26 11:23:36 +0000 2013,train
284,218,327746068697735168,toll in bangladesh building collapse passes 300 ( from <USR> ) <URL> ,Related and informative,Fri Apr 26 11:28:46 +0000 2013,train
285,219,327746416803975169,"take action : demand justice for victims of bangladesh building collapse <URL> sign the petition to primark , … ",Related and informative,Fri Apr 26 11:30:09 +0000 2013,train
286,220,327756537688899584,"more news from savar #bangladesh , now over 300 killed <URL> ",Related and informative,Fri Apr 26 12:10:22 +0000 2013,train
287,221,327757942772334597,death toll nears 300 in bangladesh building collapse : the death toll from the building collapse near the bangl . . . <URL> ,Related and informative,Fri Apr 26 12:15:57 +0000 2013,train
288,222,327759435952975873,violents erupts over bangladesh building collapse | #enewsextra ,Related and informative,Fri Apr 26 12:21:53 +0000 2013,train
289,223,327763529568493569,"at least 147 people confirmed dead in bangladesh building collapse , as rescuers search for survivors <URL> ",Related and informative,Fri Apr 26 12:38:09 +0000 2013,train
290,224,327766297804935168,#politics #political ap photos : bangladesh building collapse : . . . <URL> #news #media #usa #i ,Related - but not informative,Fri Apr 26 12:49:09 +0000 2013,train
291,225,327769707782496256,"contact enam medical college & hospital address : 9 / 3 , parboti nagar , thana road , savar dhaka , bangladesh . phone : . . . <URL> ",Related and informative,Fri Apr 26 13:02:42 +0000 2013,train
292,226,327770848645742592,"with death toll at 300 , bangladesh factory collapse becomes worst tragedy in garment industry history . our story : http :/ … ",Related and informative,Fri Apr 26 13:07:14 +0000 2013,train
293,227,327771289047662592,"<USR> toll in bangladesh building collapse passes 300 : savar , bangladesh ( ap ) — more than two days after their factory collap . . . ",Related and informative,Fri Apr 26 13:08:59 +0000 2013,train
294,228,327773411378085888,death toll rana plaza bldg collapse <URL> now double triangle shirtwaist #fire <URL> ,Related and informative,Fri Apr 26 13:17:25 +0000 2013,train
295,229,327773507834490880,' primark and bonmarché were . . . buying products made by people working in a death trap ' <URL> #bangladesh … ,Related and informative,Fri Apr 26 13:17:48 +0000 2013,train
296,230,327775386895282178,"the death toll from the collapse of the clothing factory at savar , dhaka , bangladesh on wednesday is already 300 , & is expected to . . . ",Related and informative,Fri Apr 26 13:25:16 +0000 2013,train
297,231,327777995748163584,the death toll from the building collapse in bangladesh continues to mount and the outcry grows louder [ sub req . ]: htt … ,Related and informative,Fri Apr 26 13:35:38 +0000 2013,train
298,232,327779551818162176,thousands protest deadly collapse : thousands protest the safety problems plaguing bangladesh ' s garment industr . . . <URL> ,Related and informative,Fri Apr 26 13:41:49 +0000 2013,train
299,233,327780780749242368,"<USR> rescuers still hope for survivors in bangladesh collapse : the death toll in the collapse hovers around 300 , . . . <USR> ",Related and informative,Fri Apr 26 13:46:42 +0000 2013,train
