,id,tweet_id,text,tag,date,partition
419,980,363227288474632192,"spain crash : driver ‘ speeding at twice limit ’ : the driver of the train that derailed in spain , killing 79 peop . . . <URL> ",Related and informative,Fri Aug 02 09:18:28 +0000 2013,train
420,981,363239238047105024,"estar subida en el tren y pensar en el accidente de santiago de compostela , bff . . . me pongo mala tío ",Related - but not informative,Fri Aug 02 10:05:57 +0000 2013,train
421,982,363307403837587456,"driver in the deadly train crash speaks : the driver of the train that derailed in northwestern spain , killing . . . <URL> ",Related and informative,Fri Aug 02 14:36:49 +0000 2013,train
422,983,363355030163693569,tren descarrilado : impresionantes imágenes del accidente ocurrido en españa <URL> ,Related and informative,Fri Aug 02 17:46:04 +0000 2013,train
423,984,363379998880567296,spain : train driver ignored 3 signals to slow down <URL> ,Related and informative,Fri Aug 02 19:25:17 +0000 2013,train
424,985,363397224887099392,"have indicated that 80 civilians have died in a train crash in spain , with 178 injur . . . <URL> ",Related and informative,Fri Aug 02 20:33:44 +0000 2013,train
425,986,363447652983119872,spain train crash : black box data disclosed : tests on the black boxes reveal the driver ignored three warnings to slow . . . <USR> ,Related and informative,Fri Aug 02 23:54:07 +0000 2013,train
871,663,360551075037712384,al menos 35 muertos tras descarrilamiento de tren en españa ( + fotos ) <URL> ,Related and informative,Fri Jul 26 00:04:09 +0000 2013,train
872,664,360551498683383809,photo gallery : #spain train derailment . #newsheadlines #worldnews <URL> <URL> ,Related and informative,Fri Jul 26 00:05:50 +0000 2013,train
873,665,360553910383022080,at least 35 dead in spain train derailment <URL> ,Related and informative,Fri Jul 26 00:15:25 +0000 2013,train
874,666,360560650621169665,"ya los medios tienen el culpable del descarrilamiento del tren en compostela . exceso de velocidad , el chofer es el culpable , el gobierno no . ",Related - but not informative,Fri Jul 26 00:42:12 +0000 2013,train
875,667,360560717763592192,ascienden a 80 los muertos y a 178 los heridos por el descarrilamiento de un tren en #españa <URL> #galicia ,Related and informative,Fri Jul 26 00:42:28 +0000 2013,train
876,668,360564563906793472,accidente de tren en españa : hay dos colombianos muertos y cuatro heridos . maquinista del automotor dio su testimonio … ,Related and informative,Fri Jul 26 00:57:45 +0000 2013,train
877,669,360565625095065601,"world news police to question driver after spanish train crash kills 80 : santiago de compostela , spain ( re . . . <URL> wor ",Related and informative,Fri Jul 26 01:01:58 +0000 2013,train
878,670,360568179405238272,"mis condolencias a la gente que fallecío en este fatal accidente de tren , en españa . ",Related - but not informative,Fri Jul 26 01:12:07 +0000 2013,train
879,671,360573539746721792,i have recently heard that people in spain are dying to train today . #2soon2soon ,Related - but not informative,Fri Jul 26 01:33:25 +0000 2013,train
880,672,360574147916603393,que feo lo del tren en españa :/ ,Related - but not informative,Fri Jul 26 01:35:50 +0000 2013,train
881,673,360580737155604480,spain train crash #spaintraincrash news : <URL> ,Related and informative,Fri Jul 26 02:02:01 +0000 2013,train
882,674,360582670738132992,picture : barcelona yesterday held one minute silence before training for the victims of the train crash in spain <URL> ,Related and informative,Fri Jul 26 02:09:42 +0000 2013,train
