,id,tweet_id,text,tag,date,partition
581,1013,411523881141161984,<URL> eat this never diet again <URL> #vienna #amsterdam #australia #ireland #uk #ksa #philippines ,Not related,Fri Dec 13 15:51:53 +0000 2013,train
550,1025,413962176831832065,i ’ m working w / <USR> to be #thereafterhaiyan for the children of the #philippines . join us : <URL> ht … ,Related and informative,Fri Dec 20 09:20:48 +0000 2013,train
551,1026,414031353500676096,loren monares ' advice to aspiring #plussize #models in the #philippines . <URL> #fashion #quote ,Not related,Fri Dec 20 13:55:41 +0000 2013,train
552,1027,414170243695931393,your rt is all it takes : every rt is a packet of micronutrient powder for #children in #philippines thanks to <USR> <URL> ,Not related,Fri Dec 20 23:07:35 +0000 2013,train
524,1037,416696456200716289,your rt is all it takes : each rt = a packet of micronutrient powder for #children in #philippines thanks to <USR> <URL> ,Related and informative,Fri Dec 27 22:25:51 +0000 2013,train
57,59,398606108467539968,our god is stronger and bigger than any storm . hold close to him . #yolandaph #prayforthephilippines ,Related - but not informative,Fri Nov 08 00:21:16 +0000 2013,train
58,60,398606167183589376,"experts now say yolanda maybe the strongest typhoon ever recorded to hit land , exceeding category 5 strength . <URL> ",Related and informative,Fri Nov 08 00:21:30 +0000 2013,train
59,61,398606909600567296,photo via <USR> pic : see tacloban city downtown before and during the storm surge #yolandaph <URL> ,Related and informative,Fri Nov 08 00:24:27 +0000 2013,train
60,62,398612290901004288,imagen 17:30 h del supertifon #haiyan cruzando filipinas sin perder organizacion vientos > 3 0 0 km / h <URL> ,Not applicable,Fri Nov 08 00:45:50 +0000 2013,train
61,63,398615281410404353,this picture from space of super typhoon haiyan is haunting . ( courtesy : 2013 eumetsat ) <URL> ,Related and informative,Fri Nov 08 00:57:43 +0000 2013,train
62,64,398615310783094784,typhoon #haiyan is shaping up to be one of the most - powerful storms ever recorded in history <URL> ,Related and informative,Fri Nov 08 00:57:50 +0000 2013,train
63,65,398617563107573760,"there are 529 evacuation centers , 73,522 evacuees , and 21 , 894 families recorded in whole central visayas . #yolandaph ",Related and informative,Fri Nov 08 01:06:47 +0000 2013,train
64,66,398619542831640576,sino po gusto magpafollow ? :) reply lng po kayo :) #walangpasok #yolandaph #strongerph ,Not related,Fri Nov 08 01:14:39 +0000 2013,train
65,67,398619572204355584,getting scary every minute . . . prayers for everyone ' s safety . . . #yolandaph ,Related - but not informative,Fri Nov 08 01:14:46 +0000 2013,train
66,68,398620440400523264,satellite movie of super typhoon haiyan hitting philippines . #haiyan #yolandaph <URL> ,Related and informative,Fri Nov 08 01:18:13 +0000 2013,train
67,69,398620834677657600,1907 - s one peso us philippines silver coin fine details condition <URL> #philippines #filipina ,Not related,Fri Nov 08 01:19:47 +0000 2013,train
68,70,398625456796086274,“ <USR> : world ' s most powerful typhoon hits ph <URL> #yolandaph ” ,Related and informative,Fri Nov 08 01:38:09 +0000 2013,train
69,71,398625641362235393,thank you lord ! ! rt <USR> : pagasa : improved weather across the country tomorrow . #yolandaph ,Related and informative,Fri Nov 08 01:38:53 +0000 2013,train
70,72,398627411329183744,<USR> : pagasa : improved weather across the country tomorrow . #yolandaph ,Related and informative,Fri Nov 08 01:45:55 +0000 2013,train
71,73,398628690596069376,"wala ng pasok sa upm , sana d2 din sa upd . :(( #typhoonyolanda ",Not applicable,Fri Nov 08 01:51:00 +0000 2013,train
72,74,398632868139646977,typhoon haiyan is about to destroy asia . . . ,Related and informative,Fri Nov 08 02:07:36 +0000 2013,train
73,75,398632989761892353,please #pray for the #philippines as this horrible #storm approaches . among worst in history . #prayer <URL> ,Related and informative,Fri Nov 08 02:08:05 +0000 2013,train
74,76,398634541666955265,"this is the image i saw as i walked into my show meeting <USR> today . stunning , horrifying . . . #haiyan http :// t . … ",Related and informative,Fri Nov 08 02:14:15 +0000 2013,train
75,77,398635158212866048,i heard there ' s a hig typhoon passing through the philippines . hope you all are ok ! stay safe ~ ,Related - but not informative,Fri Nov 08 02:16:42 +0000 2013,train
