,id,tweet_id,text,tag,date,partition
852,716,325038259598135298,"some 35 people , including 10 first responders , died in fertilizer plant blast , west , texas , mayor told usa today http :// t . c . . . ",Related and informative,Fri Apr 19 00:08:54 +0000 2013,train
853,717,325040163791179776,my prayers go out to the victims and families of #westtx . god bless you all . ,Related - but not informative,Fri Apr 19 00:16:28 +0000 2013,train
854,718,325040885211480064,<USR> atf are on location at the #westexplosion . ,Related and informative,Fri Apr 19 00:19:20 +0000 2013,train
855,719,325041032003723264,only in texas . . this is what no zoning regulations looks like . . #westexplosion #waco <URL> #abcnews24 ,Related - but not informative,Fri Apr 19 00:19:55 +0000 2013,train
856,720,325041094951841792,r . i . p to all the people in west texas that died from the fertilization explosion ,Related - but not informative,Fri Apr 19 00:20:10 +0000 2013,train
857,721,325041241739902976,"the fertilizer plant in west , texas , that went up in flames had not been inspected by regulators in 28 years : <URL> ",Related and informative,Fri Apr 19 00:20:45 +0000 2013,train
858,722,325041552097411072,"mayor of west , texas is now saying there are 40 people dead from the blast last night . this number could rise . ",Related and informative,Fri Apr 19 00:21:59 +0000 2013,train
859,723,325042130936537088,katie and i raging at dia ! ! ! #dia #baylor #luxurylites #luxurylites #ehookah #waco #yinyangtwins … <URL> ,Not related,Fri Apr 19 00:24:17 +0000 2013,train
860,724,325042386780708866,"texas explosion : breaking news - 35 people including 10 first responders killed by fertilizer blast , west tx mayor says . us . . . ",Related and informative,Fri Apr 19 00:25:18 +0000 2013,train
861,725,325043817025765376,texas explosion devastates tight - knit town : ' it was like the whole earth shook ' : witnesses recount shock from . . . <URL> ,Related and informative,Fri Apr 19 00:30:59 +0000 2013,train
862,726,325047549952147457,"gostei de um vídeo <USR> <URL> on camera : fertilizer plant explosion near waco , texas ",Related and informative,Fri Apr 19 00:45:49 +0000 2013,train
863,727,325051513577799680,"state leaders : investigation of west , texas plant explosion underway - burnt orange report <URL> ",Related and informative,Fri Apr 19 01:01:34 +0000 2013,train
864,728,325052402770264065,<USR> helpful twitter feeds for #westtx assistance & relief . <URL> ,Related and informative,Fri Apr 19 01:05:06 +0000 2013,train
865,729,325061110174720001,boston marathon runner returns home to texas to witness plant explosion | fox news <URL> via <USR> ,Related and informative,Fri Apr 19 01:39:42 +0000 2013,train
866,730,325063815471435776,70 animals coming to north texas for adoption following explosion <URL> ,Related and informative,Fri Apr 19 01:50:27 +0000 2013,train
867,731,325064083919478785,"#westtx hey guys , this is what is needed ! <URL> ",Related - but not informative,Fri Apr 19 01:51:31 +0000 2013,train
868,732,325071923082059777,see blast : cnn ' s martin savidge covers the latest details from a fertilizer plant explosion that rocked the to . . . <URL> ,Related and informative,Fri Apr 19 02:22:40 +0000 2013,train
869,733,325074544496877569,“ <USR> : #boston marathon runner returns home to #texas to witness plant explosion <URL> wow . unbelievable . ,Related and informative,Fri Apr 19 02:33:05 +0000 2013,train
870,734,325075836338335745,<USR> why does the explosion in texas that took so many lives and caused such horrible damage not warrant any coverage ? ,Related - but not informative,Fri Apr 19 02:38:13 +0000 2013,train
871,735,325075844764688385,so far this week - #prayfortexas - #prayforboston - two 14 year olds killed a homeless man as a dare - bomb threats it ' s only thursday ,Related - but not informative,Fri Apr 19 02:38:15 +0000 2013,train
872,736,325076398387646464,so far this week - #prayfortexas - #prayforboston - two 14 year olds killed a homeless man as a dare - bomb threa . . . ,Not related,Fri Apr 19 02:40:27 +0000 2013,train
873,737,325076801053392896,"rescatistas buscan a sobrevivientes de explosión en texas : por carey gillam y corrie maclaggan west , eeuu ( reu . . . <URL> ",Related and informative,Fri Apr 19 02:42:03 +0000 2013,train
874,738,325077614740008960,<USR> plz listen to lieutenant colonel potter <URL> #boston #waco #gold #falseflag v <USR> ,Related - but not informative,Fri Apr 19 02:45:17 +0000 2013,train
875,739,325080160695091200,"after finishing the boston marathon 30 seconds before the bombs set off , joe berti narrowly missed the waco explosion http :/ . . . ",Related - but not informative,Fri Apr 19 02:55:24 +0000 2013,train
876,740,325081989420032000,dane schiller on the tough choice that faced west ' s brave volunteer firefighters : #westexplosion <URL> ,Related and informative,Fri Apr 19 03:02:40 +0000 2013,train
877,741,325084615041761280,"boston bombing , texas explosion , this time mit shooting ? ",Related - but not informative,Fri Apr 19 03:13:06 +0000 2013,train
878,742,325088285070348290,re : #westtx explosion : rt <USR> only in texas . this is what no zoning regulations looks like . <URL> . . . ,Related - but not informative,Fri Apr 19 03:27:41 +0000 2013,train
879,743,325089656582594560,man survives boston marathon bombs to return home and witness the waco fertilizer plant explosion : <URL> ,Related and informative,Fri Apr 19 03:33:08 +0000 2013,train
