id,tweet_id,text,tag,date,partition
224,214149426611101696,"full time housekeeper - colorado springs , co <URL> ",Not related,Sun Jun 17 00:16:16 +0000 2012,train
225,214158679220559872,betrebels live : ( usa - mls ) #vancouver whitecaps vs #colorado rapids : 1 - 0: goal for vancouver whitecaps <URL> <USR> ,Not related,Sun Jun 17 00:53:02 +0000 2012,train
226,214164312175026177,most destructive ever colorado wildfire burns 181 homes <URL> via <USR> ,Related and informative,Sun Jun 17 01:15:25 +0000 2012,train
227,214168795881811969,high park fire 2012 : colorado blaze burns record number of homes : denver - - additional crews were arriving satur . . . <URL> ,Related and informative,Sun Jun 17 01:33:14 +0000 2012,train
228,214170347774291969,this is a beautiful state #colorado ,Not related,Sun Jun 17 01:39:24 +0000 2012,train
229,214182184104370176,[ denver news ] colorado wildfire ranks as most destructive in state history : denver ( reuters ) - an 85 - square - mile . . . <URL> ,Related and informative,Sun Jun 17 02:26:26 +0000 2012,train
230,214194607657992192,"#highparkfire now 45% containment , has burned 55,050 acres . #9news ",Related and informative,Sun Jun 17 03:15:48 +0000 2012,train
231,214201167515885568,"“ <USR> : the wildfire burning just west of fort collins , colorado , has destroyed 181 homes , . . . <URL> ",Related and informative,Sun Jun 17 03:41:52 +0000 2012,train
232,214207349949349888,<USR> i would love if you came to colorado springs so i don ' t have to only see you on youtube ,Not related,Sun Jun 17 04:06:26 +0000 2012,train
233,214226740220928000,wildfire destroys 181 homes in colorado : additional crews were joining the fight saturday against a wildfire in . . . <URL> ,Related and informative,Sun Jun 17 05:23:29 +0000 2012,train
234,214230229852495872,wishes all dads fighting the #highparkfire a happy father ' s day ; also the evacuated dads who ' ll spend tomorrow comfo . . . ,Related - but not informative,Sun Jun 17 05:37:21 +0000 2012,train
235,214233753072041986,denver ties for nation ' s microbrew capital ; colorado springs not far . . . : browse food / drink . food / drink home pag . . . <URL> ,Not related,Sun Jun 17 05:51:21 +0000 2012,train
236,214349314556821504,colorado sees record fire damage <URL> ,Related and informative,Sun Jun 17 13:30:33 +0000 2012,train
237,214350006621192192,what a week it ' s been ! #highparkfire you better behave today . <URL> ,Related - but not informative,Sun Jun 17 13:33:18 +0000 2012,train
238,214385830171648000,"#highparkfire now most destructive in #cofire history , taking 181 homes . now over 5 5 k acres w / $10.8m in damage : http : . . . ",Related and informative,Sun Jun 17 15:55:39 +0000 2012,train
239,214425449537867776,"#highparkfire update : re - evacuations being announced for hwy 14 , east of seaman reservoir . ",Related and informative,Sun Jun 17 18:33:05 +0000 2012,train
240,214426300994162688,"#highparkfire update : re - evacuations being announced for hwy 14 , east of seaman reservoir . ",Related and informative,Sun Jun 17 18:36:28 +0000 2012,train
241,214477563756675072,most destructive ever colorado wildfire burns 181 homes - u . s . news <URL> #coloradowildfires ,Related and informative,Sun Jun 17 22:00:10 +0000 2012,train
242,214479962911154176,worst colorado wildfire i . . . <URL> ,Related and informative,Sun Jun 17 22:09:42 +0000 2012,train
