id,tweet_id,text,tag,date,partition
20,243148357902675969,"#earthquake  m 4.6 , 1 0 5 km nne of road town , british virgin islands : wednesday , september 05, 2012 00:24:51 utctuesday , september 04 , . . . ",Not related,Wed Sep 05 00:47:40 +0000 2012,train
21,243152791290392576,"#terremoto ml : 2.4 2012 - 09 - 05 00:46:47 utc lat = 39.88 lon = 16.02 prof = 8 . 9 km prov = potenza , cosenza ",Not related,Wed Sep 05 01:05:17 +0000 2012,train
22,243155538555334656,argentina recibió a sus internacionales de cara al partido ante paraguay <URL> #costarica ,Not related,Wed Sep 05 01:16:12 +0000 2012,train
23,243157258232549377,"【 #usgs #alert 】 m 5.2 , virgin islands region : september 05, 2012 00:24:48 gmt <URL> #earthquake #tsunami #prayfromjapan ",Not related,Wed Sep 05 01:23:02 +0000 2012,train
24,243157707027259393,"#earthquake magnitude mb 4 . 8 region south of java , indonesiadate time 2012 - 09 - 05 00:48:09 . 0 utclocation 10 . . . . <URL> ",Not related,Wed Sep 05 01:24:49 +0000 2012,train
25,243159334404636672,#terremoto #attualita - terremoto in emilia : tre mesi dopo . . ( myazaky ) <URL> #sismografo ,Not related,Wed Sep 05 01:31:17 +0000 2012,train
26,243198739882332161,"#earthquake : m 4.5 , taiwan region <URL> ",Not applicable,Wed Sep 05 04:07:52 +0000 2012,train
27,243203924050448384,"#earthquake m 2.6 , hawaii region , hawaii <URL> ",Not applicable,Wed Sep 05 04:28:28 +0000 2012,train
28,243212388155916288,#terremoto ml :3 . 2 2012 - 09 - 05 03:09:12 utc lat = 39.10 lon = 17.25 prof = 22 . 2 km prov = southern italy ,Not applicable,Wed Sep 05 05:02:06 +0000 2012,train
29,243292902007128064,5 日19時2分頃 - 最大震度 1 - 震源地 宮城県沖 <URL> #地震 #earthquake ,Not applicable,Wed Sep 05 10:22:02 +0000 2012,train
30,243336204010012672,"#earthquake #emsc m 4.5 kepulauan babar , indonesia : magnitude m 4 . 5 region kepulauan babar , indones . . . <URL> #tameemi ",Not related,Wed Sep 05 13:14:06 +0000 2012,train
31,243338628313534464,photo : #bay #beach #sanjuandelsur #sur #costarica #summer #vacation #verano #azul #plya #mounta . . . <URL> ,Not related,Wed Sep 05 13:23:44 +0000 2012,train
32,243338968047955968,"#terremoto m 2.8 , central california - wednesday , september 5 , 2012 12:31:07 utcwednesday , september 5 , 2012 05:31 . . . <URL> ",Not related,Wed Sep 05 13:25:05 +0000 2012,train
33,243354147234123777,"earthquakecalifornia minor earthquake near sparta , ill . , felt in metro east - <URL> <URL> #earthquake ",Not related,Wed Sep 05 14:25:24 +0000 2012,train
34,243359297843650560,que #temblorcr mas largo y raro . . . . ,Related - but not informative,Wed Sep 05 14:45:52 +0000 2012,train
35,243359545332731904,duró como 15 minutos #temblorcr ,Related and informative,Wed Sep 05 14:46:51 +0000 2012,train
36,243359583056310272,#temblorcr en rohrmoser se sintió muy fuerte y se quebraron cosas . <USR> ,Related and informative,Wed Sep 05 14:47:00 +0000 2012,train
37,243359604032020480,#temblorcr se sintió muy muy fuerte ! #semesalioelcerote ,Related - but not informative,Wed Sep 05 14:47:05 +0000 2012,train
38,243359838925627392,siempre me agarra el #temblorcr cuando reviso twitter ! jajaja cosas de la vida ,Related - but not informative,Wed Sep 05 14:48:01 +0000 2012,train
