,id,tweet_id,text,tag,date,partition
971,743,266695012803280896,"guys , let ' s help raise funds for the <USR> for those in need in the #guatemala #earthquake <URL> ",Related and informative,Fri Nov 09 00:13:40 +0000 2012,train
972,744,266695616795648000,un nuevo #sismo de 4.2 con epicentro en #guatemala sacude #elsalvador <URL> ,Related and informative,Fri Nov 09 00:16:04 +0000 2012,train
973,745,266701581079166978,evaluación de daños en infraestructura por sismo en guatemala . . . <URL> ,Related and informative,Fri Nov 09 00:39:46 +0000 2012,train
974,746,266702436721377280,"foto impactante imagen de lo que ocasiono el devastador #temblor ubicación ; zona 2 , san ángel guatemala . #temblorgt h . . . ",Related and informative,Fri Nov 09 00:43:10 +0000 2012,train
975,747,266711441887870976,7.4 magnitude earthquake shakes guatemala : air <URL> ,Related and informative,Fri Nov 09 01:18:57 +0000 2012,train
976,748,266712112972328960,"#guatemala esta herida , pero no de muerte . . . ! ",Not related,Fri Nov 09 01:21:37 +0000 2012,train
977,749,266713656492965890,"oremos por nuestros hermanos de guatemala , el día de ayer un terremoto de 7.4 grados sacudió el bello país , . . . http . . . ",Related - but not informative,Fri Nov 09 01:27:45 +0000 2012,train
978,750,266728445592096768,aumenta a 52 el número de muertos por sismo en #guatemala <URL> ,Related and informative,Fri Nov 09 02:26:31 +0000 2012,train
979,751,266731704557895680,"urgente : #sismo de magnitud 7,5 sacude #guatemala <URL> ",Related and informative,Fri Nov 09 02:39:28 +0000 2012,train
980,752,266734032426000385,"fuerza <USR> y a todo el pueblo de guatemala , desde chile sabemos lo q es un terremoto , estamos atentos . . . ",Related - but not informative,Fri Nov 09 02:48:43 +0000 2012,train
981,753,266736314097999872,really worried . guatemala is affected by a hard earthquake . my prayers go out to them . #guatemaltecosalrescate ,Related and informative,Fri Nov 09 02:57:47 +0000 2012,train
982,754,266761593180782594,desperate search continues for quake survivors in guatemala <URL> ,Related and informative,Fri Nov 09 04:38:14 +0000 2012,train
983,755,266778294890946560,"el barca manda apoyo a guatemala por el sismo , el glorioso real madrid felicita a guatemala por su independencia #dif . . . ",Not related,Fri Nov 09 05:44:36 +0000 2012,train
