id,tweet_id,text,tag,date,partition
8,266005733445869569,estamos #2 en lo más solicitado en #guatemala con “ enmisefijo ” de <USR> por #radiomanati1015fm pídelo vía msj . . . ,Not related,Wed Nov 07 02:34:43 +0000 2012,train
9,266048855085305857,"el presidente de #guatemala <USR> es , hasta ahora , el único mandatario latinoamericano que felicitó a #obama en tw . . . ",Not related,Wed Nov 07 05:26:04 +0000 2012,train
10,266140274156240896,posibles fechas de #mägodeoz : 8 de febrero en #guatemala . 14 de marzo en #chile ( mismo día que turisas . . . ) . 23 de marzo en #argentina . ,Not related,Wed Nov 07 11:29:20 +0000 2012,train
11,266217826849783808,buenos dias con ese #temblorgt ,Related - but not informative,Wed Nov 07 16:37:30 +0000 2012,train
12,266219231916478464,sismo fue sensible en la capital de guatemala ,Related and informative,Wed Nov 07 16:43:05 +0000 2012,train
13,266219357745582080,"fuerte sismo sacude guatemala , méxico y buena parte de centroamèrica . ",Related and informative,Wed Nov 07 16:43:35 +0000 2012,train
14,266219601002647552,nada mejor que empezar el dia con un #temblor #sismo . . . ,Not related,Wed Nov 07 16:44:33 +0000 2012,train
15,266219655549575169,"ooh <USR> : 7.5 earthquake , 4 9 km sw of champerico , guatemala . nov 7 10:35 at epicenter ( 6 m ago , depth 3 3 km ) . <URL> ",Related and informative,Wed Nov 07 16:44:46 +0000 2012,train
16,266219773006843906,"7.5 earthquake , 4 9 km sw of champerico , guatemala . nov 7 10:35 at epicenter ( 6 m ago , depth 3 3 km ) . <URL> ",Related and informative,Wed Nov 07 16:45:14 +0000 2012,train
17,266219814945714177,preliminar 6.35 del #sismo que se sintio hace unos momentos en el df m ,Related and informative,Wed Nov 07 16:45:24 +0000 2012,train
18,266219869471649793,"rt <USR> : 7.5 earthquake , 4 9 km sw of champerico , guatemala . nov 7 10:35 at epicenter ( 6 m ago , depth 3 3 km ) . ht . . . ",Related and informative,Wed Nov 07 16:45:37 +0000 2012,train
19,266220087562878977,la tierra está surfeando #temblorgt ,Not related,Wed Nov 07 16:46:29 +0000 2012,train
20,266220104319127553,#sismo #xalapa #veracruz con precaución y tranquilidad por favor ,Related - but not informative,Wed Nov 07 16:46:33 +0000 2012,train
21,266220150485835776,"<USR> : 7.5 earthquake , 4 9 km sw of champerico , guatemala . nov 7 10:35 at epicenter . <URL> que grueso ! ",Related and informative,Wed Nov 07 16:46:44 +0000 2012,train
22,266220251119767552,"<USR> : “ <USR> : #temblor m 7.5 , 4 9 km sw of champerico , guatemala <URL> / / se sintio feo loco /: ",Related and informative,Wed Nov 07 16:47:08 +0000 2012,train
23,266220305670868992,"#sismo en paseo de la reforma se sintio fuerte ! bolsa mex y torre 265 , evacuando ",Not related,Wed Nov 07 16:47:21 +0000 2012,train
