,id,tweet_id,text,tag,date,partition
976,834,208422754599440384,"sosteniamo le famiglie colpite dal #terremoto . #educatrici , diamo una mano . <URL> ",Related - but not informative,Fri Jun 01 05:00:31 +0000 2012,train
977,835,208425619296485377,3 d 18-05-2012 my fiesta ( with ) - san felice 2 ° . mp4 : <URL> via <USR> ,Not related,Fri Jun 01 05:11:54 +0000 2012,train
978,836,208428567913185280,“ <USR> : #terremoto sisma : una mappa interattiva che fotografa il terremoto <URL> bravo <USR> ,Related and informative,Fri Jun 01 05:23:37 +0000 2012,train
979,837,208432908992647168,"#terremoto . diventare volontari , il riferimento è il csv di modena <URL> coordinerà disponibilità , gra . . . ",Related and informative,Fri Jun 01 05:40:52 +0000 2012,train
980,838,208462151680143360,#terremoto . . . nessuno vuole questa parata del 2 giugno . . . per favore aiutiamo i terremotati con questi soldi ! ! ! ,Related - but not informative,Fri Jun 01 07:37:04 +0000 2012,train
981,839,208478165566373888,[ última hora ] muere un párroco en el terremoto de italia al intentar salvar una imagen de la virgen . ,Related and informative,Fri Jun 01 08:40:42 +0000 2012,train
982,840,208480061387583488,700 scosse #terremoto stanotte in emilia ? ? ? wowww :(( ,Related and informative,Fri Jun 01 08:48:14 +0000 2012,train
983,841,208517277446963200,"#terremoto sisma , i danni alle aziende e il rischio di delocalizzazione <URL> ",Related and informative,Fri Jun 01 11:16:07 +0000 2012,train
984,842,208535891763929089,#allattamento al #seno con #terremoto consigli per le #mamme <USR> <USR> <USR> <USR> http :// t . . . ,Related - but not informative,Fri Jun 01 12:30:05 +0000 2012,train
985,843,208537879843061760,rt grazie ! urgono alimenti per celiaci al campo n . 2 di finale emilia #terremoto ,Related and informative,Fri Jun 01 12:37:59 +0000 2012,train
986,844,208558205457022976,per chi vuole fare il volontario nelle zone del #terremoto il sito <URL> da info fate girare #terremotoserv #terremotoemilia ,Related and informative,Fri Jun 01 13:58:45 +0000 2012,train
987,845,208574986863128577,presidenti regioni nord - est le vacanze sono sicure #terremoto #bologna #itaca ' ,Related and informative,Fri Jun 01 15:05:26 +0000 2012,train
988,846,208600668603285504,<USR> parole parole parole parole parole parole parole parole e ancora solamente parole . saremmo anche un po ' stufi #terremoto #papa ,Related - but not informative,Fri Jun 01 16:47:29 +0000 2012,train
989,847,208615868760993793,<USR> parlerete di san felice circeo ? ,Not related,Fri Jun 01 17:47:53 +0000 2012,train
990,848,208618297233645569,"parmigiano reggiano : ecco tutti i caseifici danneggiati con indirizzi e recapiti , <URL> #terremoto #solidarietà ",Related and informative,Fri Jun 01 17:57:32 +0000 2012,train
