id,tweet_id,text,tag,date,partition
0,230634706436227073,philippine floods worsen as death toll hits 14 in wake of ‘ gener ’ <URL> #philippines #national ,Related and informative,Wed Aug 01 12:02:53 +0000 2012,train
1,230692092911964161,philippine floods worsen as death toll hits 14 in wake of ‘ gener ’ <URL> ,Related and informative,Wed Aug 01 15:50:55 +0000 2012,train
28,232628821180952576,"<USR> chair was right , we can ' t control weather , so we need to make metro manila flood resilient . must spend on anti . . . ",Related - but not informative,Tue Aug 07 00:06:47 +0000 2012,train
29,232629404185010178,"don ' t gising me uuuuuuuuuuuup ! ! ! #pinoyconyolyrics parin . hope everyone in manila is safe , heard the flood is gettin . . . ",Related - but not informative,Tue Aug 07 00:09:06 +0000 2012,train
30,232631115448479744,surviving in the manila flood #morefuninthephilippines <URL> ,Related - but not informative,Tue Aug 07 00:15:54 +0000 2012,train
31,232690720740343808,"praying for philippine , may god see you through and help those affected by the floods . amen ",Related - but not informative,Tue Aug 07 04:12:45 +0000 2012,train
32,232691454718398464,"folks , there ' s a hashtag #rescueph that has been established for rescue efforts . let ' s use this for better coordination . ",Related and informative,Tue Aug 07 04:15:40 +0000 2012,train
33,232691492462936066,hope mobile networks provide free calls today ! many are in need ! wag nyo na pagkakitaan ang bagyo ! #rescueph #bayanihan #rescuephilippines ,Related and informative,Tue Aug 07 04:15:49 +0000 2012,train
34,232699017044312065,keep tweeting us so we can share updates with our followers . we ' re updating this list too . #rescueph <URL> ,Related and informative,Tue Aug 07 04:45:43 +0000 2012,train
35,232700514419216384,"use #rescueph hashtag to allow all media outlets to monitor tweets related to the floods , rescue operations . thanks ! ",Related and informative,Tue Aug 07 04:51:40 +0000 2012,train
36,232702632534351872,hey guys ! use the hashtag #rescueph for rescue operations and flood monitoring ! ,Related and informative,Tue Aug 07 05:00:05 +0000 2012,train
37,232703387513282560,philippine capital hit by floods <URL> ,Related and informative,Tue Aug 07 05:03:05 +0000 2012,train
38,232703890846523393,"use #rescueph hashtag to allow all media outlets to monitor tweets related to the floods , rescue operations . thanks ! ",Related and informative,Tue Aug 07 05:05:05 +0000 2012,train
39,232705409159426049,whats the latest on #manila floods situation ? <USR> ,Related - but not informative,Tue Aug 07 05:11:07 +0000 2012,train
40,232706533258035200,i ' d rather have classes than seeing people of my country suffering and dying . #prayforthephilippines #rescueph ,Related - but not informative,Tue Aug 07 05:15:35 +0000 2012,train
41,232706738770563072,#rescueph rescue ust hospital ! oh pls . can ' t imagine those patients suffering from . . . . ugh . :( ,Related - but not informative,Tue Aug 07 05:16:24 +0000 2012,train
42,232707082707673088,philippine capital hit by floods <URL> ,Related and informative,Tue Aug 07 05:17:46 +0000 2012,train
43,232707095282200576,i ' d rather have classes than seeing people of my country suffering and dying . #prayforthephilippines #rescueph ,Related and informative,Tue Aug 07 05:17:49 +0000 2012,train
