id,tweet_id,text,tag,date,partition
26,274681584194560000,the watchers - tropical storm bopha upgraded to typhoon <URL> via <USR> ,Related and informative,Sat Dec 01 01:09:27 +0000 2012,train
27,274683530318082048,"via <USR> : ciclón activo : tifón #bopha , pacífico oeste y posible ciclón invest 9 1 l , atlántico central <URL> . . . ",Related and informative,Sat Dec 01 01:17:11 +0000 2012,train
28,274693214995374080,a echar un tute para pasar la noche con <USR> <USR> y #pablo <URL> ,Not applicable,Sat Dec 01 01:55:40 +0000 2012,train
29,274728321307271168,expected track of typhoon bopha in the next 24 - 72 hrs . will be a category 4 storm in 4 8 hrs and in the par in 7 2 hrs . <URL> ,Related and informative,Sat Dec 01 04:15:11 +0000 2012,train
30,274783203779289090,"<URL> <USR> <USR> covers #manilakbayan , a journey from #mindanao to #manila ",Not related,Sat Dec 01 07:53:15 +0000 2012,train
31,274802430477234176,another typhoon named internationally as #bopha will hit #southern #mindanao . it will be named #pablo in rp . oh noooooes ! ! ,Related and informative,Sat Dec 01 09:09:39 +0000 2012,train
32,274843333308850177,typhoon bopha satellite image as of 01 / dec / 12 06:30pm <URL> ,Related and informative,Sat Dec 01 11:52:11 +0000 2012,train
33,274843928904204288,real #pablo escobar ! ! 😉 <URL> ,Not related,Sat Dec 01 11:54:33 +0000 2012,train
34,274863314985680896,typhoon bopha satellite image as of 01 / dec / 12 07:30pm <URL> ,Related and informative,Sat Dec 01 13:11:35 +0000 2012,train
35,274890586337710081,con #pablo a león : d ,Not related,Sat Dec 01 14:59:57 +0000 2012,train
36,274950493594349568,asi nos lo montamos <USR> <USR> #alvaro #pablo <URL> ,Not applicable,Sat Dec 01 18:58:01 +0000 2012,train
37,275023747109490688,disturbing news : typhoon pablo will make landfall in mindanao . ulan pud dha sa ato <USR> ? waaahhhh ,Related and informative,Sat Dec 01 23:49:05 +0000 2012,train
38,275025026363817984,typhoon bopha is about 310 km east of the phil area of responsibility moving at 2 6 kph . should be within par by dinnertime . #centennialatfest ,Related and informative,Sat Dec 01 23:54:10 +0000 2012,train
2,272772643160219648,a mãe do meu amigo #pablo . morreu :( ta muito tenso o clima . . . ,Not related,Sun Nov 25 18:44:00 +0000 2012,train
3,272774882943717377,madrinas y apadrinados #santacecilia2012 <USR> <USR> #pablo <URL> ,Not related,Sun Nov 25 18:52:55 +0000 2012,train
4,272806969348337664,11-26-12 | e - games attendant | chada bingo house | cagayan de oro <URL> #cdo ,Not related,Sun Nov 25 21:00:24 +0000 2012,train
5,272851147960750080,#el #cumpleaños #de #pablo #escobar #my #dad #birthday #celebration 😀 <URL> ,Not related,Sun Nov 25 23:55:57 +0000 2012,train
18,274317493407981568,we ' re tracking typhoon #bopha as it heads towards the #philippines . #wcpfc starts on sunday and will be discussing #tuan and #sharks ,Related and informative,Fri Nov 30 01:02:41 +0000 2012,train
19,274407012434063360,"after conquering those 21 rapids , zip lines nman and the drop . may problema ksi ko sa pag ibig . hahaha #cdo #bukidnon ",Not related,Fri Nov 30 06:58:24 +0000 2012,train
20,274432077594759169,[ news ] typhoon bopha is forecast to strike the philippines at about 15:00 gmt on 4 . . . - reuters alertnet ( blog ) | r . . . <URL> ,Related and informative,Fri Nov 30 08:38:00 +0000 2012,train
21,274435948949958656,"“ <USR> : typhoon bopha , posibleng maging sinlakas ng bagyong sendong kapag pumasok sa par ngayong linggo . ingitt . . . ",Related and informative,Fri Nov 30 08:53:23 +0000 2012,train
22,274509231825248256,con <USR> #javi <USR> #ali #pablo #nacho <USR> <USR> y <USR> armandola . . . ,Not related,Fri Nov 30 13:44:35 +0000 2012,train
23,274530656321675264,wag nmn sana tumuloy ung bagyong c #pablo wag sirain ang pasko pls lng ha . ,Related - but not informative,Fri Nov 30 15:09:43 +0000 2012,train
24,274570217026383873,"#pablo no quita el maldito aire que me esta soplando en la cara , tengo una calor agobiante ¬ ¬ ",Not related,Fri Nov 30 17:46:55 +0000 2012,train
25,274660784620052480,#weather update : visayas will be greatly affected by typhoon bopha ( ty pablo ) . it might make landfall over bohol on tuesday | via <USR> ,Related and informative,Fri Nov 30 23:46:48 +0000 2012,train
39,275035356942983168,sunny sunday . ♥ we ' re hoping typhoon pablo won ' t hit our shores . ,Related - but not informative,Sun Dec 02 00:35:13 +0000 2012,train
40,275043569406976001,"“ bopha ” is forecasted to make landfall in eastern part of visayas , mindanao on tuesday , dec 4 ( via joint ( cont … ",Related and informative,Sun Dec 02 01:07:51 +0000 2012,train
41,275043753922789377,"typhoon pablo to hit philippines on tuesday , forecast to be stronger than sendong ! be safe & prepared ! <URL> . . . ",Related and informative,Sun Dec 02 01:08:35 +0000 2012,train
42,275044777353953280,weather : jtwc estimated that typhoon bopha may make landfall in the vicinity of butuan and surigao . ,Related and informative,Sun Dec 02 01:12:39 +0000 2012,train
43,275045104501260288,#ityphoonapp forecast track of super typhoon bopha . it ' s boy scout time . <URL> <URL> <URL> ,Related and informative,Sun Dec 02 01:13:57 +0000 2012,train
44,275046132097363968,"via <USR> : ojo del tifón #bopha gracias al satelite terra hd , sistema modis nasa . 01/12/2012 01:00 utc <URL> ",Related and informative,Sun Dec 02 01:18:02 +0000 2012,train
45,275061969818615808,"<URL> and the bukidnon bloggers <USR> will post updates re : typhoon #pablo - let ' s be prepared , guys #pabloph ",Related and informative,Sun Dec 02 02:20:58 +0000 2012,train
46,275065346233335808,"for the latest updates on #pabloph , please visit <URL> ",Related and informative,Sun Dec 02 02:34:23 +0000 2012,train
47,275076394017517569,take note that sendong was a tropical storm . #pabloph is a typhoon . keep safe . ,Related and informative,Sun Dec 02 03:18:17 +0000 2012,train
48,275078768001945600,pagasa : typhoon bopha may hit northern mindanao on tuesday . ,Related and informative,Sun Dec 02 03:27:43 +0000 2012,train
49,275079371964960768,according to news #pabloph is 3 x stronger than sendong ! :( #bopha i hope everyone is prepared . ,Related and informative,Sun Dec 02 03:30:07 +0000 2012,train
50,275079464243834882,“ <USR> : pagasa : typhoon bopha expected to bring rains to metro manila on thursday . no . . . ” ,Related and informative,Sun Dec 02 03:30:29 +0000 2012,train
51,275083599806619648,happy rubadabango day is trending lol madami naglalaba ngayon padating na kasi si typhoon pablo . ,Related - but not informative,Sun Dec 02 03:46:55 +0000 2012,train
52,275084874912784384,"after making landfall , bopha will cross vis - min area . effects will be felt in ncr and rest of luzon on thursday #pabloph <USR> ",Related and informative,Sun Dec 02 03:51:59 +0000 2012,train
53,275086229647802368,"anybody in butuan and surigao ? kindly tweet updates re #pabloph preps in your area . in cdo , roughly 15,000 ppl may need . . . ",Related and informative,Sun Dec 02 03:57:22 +0000 2012,train
54,275086955249807360,let ' s be prepared ! rt <USR> : ( typhoon ) pablo is expected to be stronger than sendong . ,Related and informative,Sun Dec 02 04:00:15 +0000 2012,train
55,275087898972397568,<USR> : typhoon pablo latest track <URL> ,Related and informative,Sun Dec 02 04:04:00 +0000 2012,train
56,275091149578985472,praying that typhoon bopha will change its course and not make a direct hit in any of the islands . we do not . . . <URL> ,Related - but not informative,Sun Dec 02 04:16:55 +0000 2012,train
57,275091988431396866,typhoon ' bopha ' stronger than ' sendong ' - pagasa <URL> ,Related and informative,Sun Dec 02 04:20:15 +0000 2012,train
58,275092319802363906,"typhoon bopha will bring heavy - intense rains ( 20 - 3 0 mm ) . pagasa : maghanda , maghanda , maghanda . ",Related and informative,Sun Dec 02 04:21:34 +0000 2012,train
59,275094010069147650,"cdo ' s lgu is busy prepping for typhoon pablo ( bopha ) , what ' s iligan ' s lgu doing ? any update ? #pabloph ",Related and informative,Sun Dec 02 04:28:17 +0000 2012,train
60,275094664414126080,typhoon ' bopha ' stronger than ' sendong ' - pagasa <URL> ,Related and informative,Sun Dec 02 04:30:53 +0000 2012,train
61,275095633273171968,typhoon ' bopha ' stronger than ' sendong ' - pagasa <URL> ,Related and informative,Sun Dec 02 04:34:44 +0000 2012,train
