id,tweet_id,text,tag,date,partition
0,238949989634674688,entre mal estado de plantas josefa camejo y planta centro sin planta tucacas #falcon muy mal #sinluz <URL> ,Not related,Fri Aug 24 10:44:51 +0000 2012,train
1,239006365270548480,vía <USR> : privan de libertad a hombre en #falcón por la muerte de su cónyuge . le causó varias heridas con un arma blanca . ,Not related,Fri Aug 24 14:28:52 +0000 2012,train
2,239032751645401088,ministerio público realiza seminario sobre municipalización de la justicia en #falcon <URL> #zulia #ve . . . ,Not related,Fri Aug 24 16:13:43 +0000 2012,train
138,239512525497044992,"cuando se abre un supermercado el vocero es <USR> , cuando se incendia #amuay y mueren 26 trabajadores es <USR> . . . ",Related - but not informative,Sun Aug 26 00:00:10 +0000 2012,train
139,239512890414075905,invito a leer este artículo . #amuay <URL> ,Related - but not informative,Sun Aug 26 00:01:37 +0000 2012,train
140,239514215797387264,decretado tres días de duelo nacional por la tragedia en refinería de amuay <URL> vía <USR> ,Related and informative,Sun Aug 26 00:06:53 +0000 2012,train
141,239515390185701377,"rt <USR> : se solicita urgente #amuay analgésicos ; codeina , morfina , demerol , ultracet ( tramadol ) ",Related and informative,Sun Aug 26 00:11:33 +0000 2012,train
142,239516065477046272,"no se puede llegar a conclusiones aun sobre tragedia en #amuay , pero no seria 1 ra vez que hay saboteo contra el estado . . . ",Related - but not informative,Sun Aug 26 00:14:14 +0000 2012,train
143,239516342292713472,para quien no lo sepa hoy en #amuay es la + gde refinería petrolera de vzla y hoy ocurrio una gran explosion ,Related - but not informative,Sun Aug 26 00:15:20 +0000 2012,train
144,239517608976723968,"cuando se abre un supermercado el vocero es <USR> , cuando se incendia #amuay y mueren 26 trabajadores es <USR> . . . ",Related - but not informative,Sun Aug 26 00:20:22 +0000 2012,train
145,239518296842596352,lamentable tragedia con la q hoy amanecimos . . dios ten en tu santa gloria a quienes fueron victima d este hecho . . #amuay y vzla d luto ,Related - but not informative,Sun Aug 26 00:23:06 +0000 2012,train
146,239519102148964352,urgente #amuay solicitamos ringer y solución fisiológica somos centro de acopio 04123824041 / 02123116584 favor rt ,Related - but not informative,Sun Aug 26 00:26:18 +0000 2012,train
147,239519542546690048,<USR> : elevamos una oración por los venezolanos que han perdido la vida en #amuay . necesitamos un buen gobierno <USR> pdte ,Related - but not informative,Sun Aug 26 00:28:03 +0000 2012,train
148,239519676797968385,se necesitan donantes de sangre de todo tipo en el hospital calle sierrade pto . fijo para atender heridos tras explosión en refinería amuay ,Related - but not informative,Sun Aug 26 00:28:35 +0000 2012,train
149,239520557564039168,aplazado al 2 de septiembre el simulacro de votación previsto para mañana por la explosión de la refinería / venezuela <URL> ,Related - but not informative,Sun Aug 26 00:32:05 +0000 2012,train
150,239520599544827904,realmente impresionante esta fotografía de la refinería de #amuay luego de la explosión por el fotógrafo héctor silva http :// t . . . ,Related and informative,Sun Aug 26 00:32:15 +0000 2012,train
151,239520989594124288,"salvador lamenta muertes por explosión en refinería de venezuela : por medio de un comunicado , el . . . <URL> . . . ",Related and informative,Sun Aug 26 00:33:48 +0000 2012,train
152,239521278984343552,"más de 200 casas resultaron afectadas por explosión en refinería de venezuela , donde se decretaron tres días de duelo htt . . . ",Related and informative,Sun Aug 26 00:34:57 +0000 2012,train
153,239522008822595585,"<USR> 2 ) #amuay necesitan : frazadas , agua , enlatados , leche , guantes quirúrgicos de diferentes tallas , gasas estéri . . . ",Related and informative,Sun Aug 26 00:37:51 +0000 2012,train
154,239523082556022784,comunicado de la república bolivariana de #venezuela <URL> #falcon ,Related and informative,Sun Aug 26 00:42:07 +0000 2012,train
155,239523246125506561,#aviso ► #amuay centros de acopio a nivel nacional ◄ favor revisar el tl de <USR> ,Related and informative,Sun Aug 26 00:42:46 +0000 2012,train
156,239523363566002176,"images of fire , smoke and streets littered with debris after oil refinery explosion in #venezuela <URL>  . . . ",Related and informative,Sun Aug 26 00:43:14 +0000 2012,train
157,239524252783620096,"#centrodeacopio centro de acopio en punto fijo frente al estadio tatamaya . #amuay / / se gasas , agua potable , sabanas . ",Related and informative,Sun Aug 26 00:46:46 +0000 2012,train
158,239525162934996992,"refinery blast kills 26 in venezuela , dozens hurt : a huge explosion rocked venezuela ' s biggest oil refinery and . . . <URL> ",Related and informative,Sun Aug 26 00:50:23 +0000 2012,train
159,239525330694578176,no veo a los chulos del alba por ningun lado mandando ayuda a #venezuela #amuay ” / / ni los veremos ,Related - but not informative,Sun Aug 26 00:51:03 +0000 2012,train
160,239526538662514689,"death toll rises to 26 in venezuela refinery explosion ( video , photos ) <URL> ",Related and informative,Sun Aug 26 00:55:51 +0000 2012,train
161,239527058739429377,se buscan familiares de rower benitez esta muy mal de salud en la clinica especialidades #ptofijo #paraguana #amuay dale rt ,Related - but not informative,Sun Aug 26 00:57:55 +0000 2012,train
162,239527318790492160,"se solicita urgente #amuay gasas de todo tipo , agua oxigenada , algodón , tapabocas , guantes quirúrgicos todas las tallas . . . ",Related and informative,Sun Aug 26 00:58:57 +0000 2012,train
163,239527998288699392,el resumen de una trágica jornada : la explosión en la refinería de amuay ( video ) – <URL> <URL> . . . ,Related and informative,Sun Aug 26 01:01:39 +0000 2012,train
164,239528136688160769,"dsd punto fijo : buscando a un familiar todo en día . en los quemados , no . en los heridos leves , no . en la morgue vimos su anillo #amuay ",Related - but not informative,Sun Aug 26 01:02:12 +0000 2012,train
165,239528426116096000,<USR> #amuay esta cifra sera ' 100% confiable o sera ' maquillada ? estoy un poco desconectada : ( ,Related - but not informative,Sun Aug 26 01:03:21 +0000 2012,train
166,239528782610964480,a ramirez el intacto : es una tregedia ! ! rt <USR> vicepresidente elías jaua informa q cifra d fallecidos asciende a 39 en #amuay ,Related and informative,Sun Aug 26 01:04:46 +0000 2012,train
167,239529227194609665,explosion kills 39 at venezuela ' s biggest refinery <URL> ,Related and informative,Sun Aug 26 01:06:32 +0000 2012,train
168,239530040902156290,rt <USR> : niño sobreviviente de la tragedia de #amuay es rescatado debajo de . . . <URL> ,Related - but not informative,Sun Aug 26 01:09:46 +0000 2012,train
169,239530183495938049,invito a leer este artículo . #amuay <URL> ,Related - but not informative,Sun Aug 26 01:10:20 +0000 2012,train
170,239530808455610368,con posible cuadro febril . rt <USR> : me pregunto donde estará nuestro presidente ? ? ? será que isaac no lo deja regresar ? ? ? #amuay ,Not related,Sun Aug 26 01:12:49 +0000 2012,train
