,id,tweet_id,text,tag,date,partition
554,929,352957337981566976,calgary i just heard the saddledome is closed after the flood . i can ' t play my show but i will come back soon - hold on to y … ,Related - but not informative,Fri Jul 05 01:09:21 +0000 2013,train
555,930,352957778387681280,calgary i just heard the saddledome is closed after the flood . i can ' t play my show but i will come back soon - hold on to y … ,Related and informative,Fri Jul 05 01:11:06 +0000 2013,train
556,931,352959690981916672,"thoughts , prayers and love to everyone affected by the flooding in calgary . needed 2 postpone our show this week , but it … ",Related - but not informative,Fri Jul 05 01:18:42 +0000 2013,train
557,932,352989562831777793,calgary i just heard the saddledome is closed after the flood . i can ' t play my show but i will come back soon - hold on to y … ,Related - but not informative,Fri Jul 05 03:17:24 +0000 2013,train
558,933,353009414443241473,guess what showed up in the mail today ? #yycflood #yycstampede <URL> ,Related - but not informative,Fri Jul 05 04:36:17 +0000 2013,train
559,934,353011381588590594,reflections on obama ' s climate change speech last week . . . #climate #climatechange #extremeweather #weather #abflood http … ,Related - but not informative,Fri Jul 05 04:44:06 +0000 2013,train
560,935,353074690413170689,calgary i just heard the saddledome is closed after the flood . i can ' t play my show but i will come back soon - hold on to y … ,Related - but not informative,Fri Jul 05 08:55:40 +0000 2013,train
561,936,353165513851015170,joining the <USR> and <USR> after #alberta floods . get your tee at reebok . ca . proceeds go to <USR> <URL> ,Related - but not informative,Fri Jul 05 14:56:34 +0000 2013,train
562,937,353176226124406784,"#afn national chief <USR> w / stoney nation volunteers in morley , ab today #abflood <URL> ",Related and informative,Fri Jul 05 15:39:08 +0000 2013,train
563,938,353197629645135872,sign on cp rail float - safety first . not sure how that will go over . #abflood #chlive #bonnybrook ,Related - but not informative,Fri Jul 05 17:04:11 +0000 2013,train
564,939,353265988403335168,flood ? what flood ? #yycisopen rt <USR> : great photo ! rt <USR> : <USR> <USR> <USR> http … ,Related - but not informative,Fri Jul 05 21:35:49 +0000 2013,train
591,989,355502957535567873,frustration from residents about how & why decisions were made on july 5 . applause for <USR> residents . #yyc #yyccc #yycflood ,Related - but not informative,Fri Jul 12 01:44:44 +0000 2013,train
592,990,355738488672485377,money mentors reaffirms its services and advises alberta flood victims . https://t.co/bwtsuzoael. #ab #finlit ,Related and informative,Fri Jul 12 17:20:39 +0000 2013,train
593,991,355749658108231681,my thanks to the local hutterite colonies who fed thousands at the flood evacuation centres in southern alberta ,Related and informative,Fri Jul 12 18:05:02 +0000 2013,train
594,992,355765575496122368,"rush moved their calgary show to red deer , will donate their appearance fee to flood relief & pay their own expenses for … ",Related and informative,Fri Jul 12 19:08:17 +0000 2013,train
24,24,347866593793024000,"city of calgary expecting 75,000 to 100,000 people in #yyc will be forced from their homes because of flooding . #abflood ",Related and informative,Fri Jun 21 00:00:33 +0000 2013,train
25,25,347868816765763584,"at risk of drowning today , heavy rain all night . thank goodness i live high up on a hill . be safe yall . #abflood #yyc #yycflood ",Related - but not informative,Fri Jun 21 00:09:23 +0000 2013,train
26,26,347872579039662080,emergency alert just came on the radio & tv . bowness & sunnyside on are on overland flooding alert . #yycflood #yyc ,Related and informative,Fri Jun 21 00:24:20 +0000 2013,train
27,27,347873627632439296,insane photo of flooded parkade in discovery ridge via <USR> : <URL> #yyc #abflood ,Related and informative,Fri Jun 21 00:28:30 +0000 2013,train
28,28,347878031651635201,bridge at edworthy park #yycflood <USR> edworthy park <URL> ,Related and informative,Fri Jun 21 00:46:00 +0000 2013,train
29,29,347878786630574081,"wow , i ' ve never seen the river this high before . #abflooding #yycflood ",Related - but not informative,Fri Jun 21 00:49:00 +0000 2013,train
30,30,347880648901537792,shakespeare in the park . #abflood <URL> ,Related - but not informative,Fri Jun 21 00:56:25 +0000 2013,train
31,31,347881596789067778,<USR> : maps of the sunnyside and bowness evacuations can be found here : <URL> #yycflood #yyccc ,Related and informative,Fri Jun 21 01:00:10 +0000 2013,train
32,32,347884541186297856,the pictures of the flood in calgary and southern alberta is just so heartbreaking ! #abflood #heartbreaking #staysafe ,Related - but not informative,Fri Jun 21 01:11:52 +0000 2013,train
33,33,347887263289597953,praying for the people in my hometown #calgary tonight as waters rise . my high school st . mary ' s in flood zone too . . . . ,Related - but not informative,Fri Jun 21 01:22:41 +0000 2013,train
34,34,347887946986295296,due to rising water levels the lower deck of centre street bridge has been closed . be careful #yycflood ,Related and informative,Fri Jun 21 01:25:24 +0000 2013,train
35,35,347901205177044992,bowness park . not much left #yyc #yycflood #abflood <URL> ,Related and informative,Fri Jun 21 02:18:05 +0000 2013,train
36,36,347901683310944256,our <USR> building is in evacuation zone . staff leaving now . we still have reporters & shooters across sab & #yyc #abflood ,Related and informative,Fri Jun 21 02:19:59 +0000 2013,train
37,37,347903776277008384,<USR> please keep us updated on when / if volunteers will be needed - i ' d love to help in any way i can #abflood … ,Related and informative,Fri Jun 21 02:28:18 +0000 2013,train
38,38,347904308957814784,city 8pm update : roads in downtown core being closed . memorial drive closed . #yyc #abflood #flood ,Related and informative,Fri Jun 21 02:30:25 +0000 2013,train
39,39,347904782914174977,ahs has released a boil water advisory for the calgary zone . <URL> #yyc #yycflood #abstorm #abflood ( … ,Related and informative,Fri Jun 21 02:32:18 +0000 2013,train
40,40,347905873420619776,we ' ve opened residences to those evacuated due to #yycflood . if you need lodging visit an #abemerg response centre fir … ,Related and informative,Fri Jun 21 02:36:38 +0000 2013,train
41,41,347907664409395200,rt <USR> : city of calgary not under boil water order . #yyc #abflood ,Related and informative,Fri Jun 21 02:43:45 +0000 2013,train
42,42,347911137267953664,tornado warning in #edmonton then flood in #calgary ? #thethingsidealwith #staysafe ,Related - but not informative,Fri Jun 21 02:57:33 +0000 2013,train
43,43,347912009691578368,#highriver man swims after his cat momo . . #abflood #yycflood #incredible <URL> ,Related - but not informative,Fri Jun 21 03:01:01 +0000 2013,train
44,44,347912521400860672,hard to believe 2 weeks ago i was in calgary and it was beautiful . i hope evryone keeps safe . #abflood ,Related - but not informative,Fri Jun 21 03:03:03 +0000 2013,train
45,45,347914475933941760,the city of calgary newsroom is also a good source for the latest releases about #yycflood <URL> ,Related and informative,Fri Jun 21 03:10:49 +0000 2013,train
46,46,347914811511808001,"many communities having power and gas cut - off . you may not see #yycflood , but you ’ ll have no utilities either . please ev … ",Related and informative,Fri Jun 21 03:12:09 +0000 2013,train
47,47,347915021206036481,this guy is telling it how it is ! hilarious . be careful calgary ! severe thunderstorm watch ! <URL> via <USR> #flood #rain ,Related - but not informative,Fri Jun 21 03:12:59 +0000 2013,train
48,48,347916199809658882,now there ' s bad flooding in #alberta ? oh no . . . thinking of my western neighbours tonight ! #floods ,Related and informative,Fri Jun 21 03:17:40 +0000 2013,train
49,49,347916212405145600,check here to see what areas of montgomery must be evacuated : <URL> #yycflood ,Related and informative,Fri Jun 21 03:17:43 +0000 2013,train
50,50,347916707328831488,#abflood #cochrane #hwy22 wow ! #yyc #flood #ab https://t.co/kvpj9sg5lj ,Related - but not informative,Fri Jun 21 03:19:41 +0000 2013,train
