id,tweet_id,text,tag,date,partition
15,389189413667758080,"another extreme fire danger day for nsw , with heat and thunderstorms creating extreme bushfire danger : <URL> #ann ",Related and informative,Sun Oct 13 00:42:41 +0000 2013,train
16,389229293101785089,#nswrfs crews are responding to a fire reported in the salt ash area ( port stephens ) . #nswfires ,Related and informative,Sun Oct 13 03:21:09 +0000 2013,train
17,389238436667740160,"#breaking : emergency warning for bushfire at browns rd , port stephens nsw . fire info at <URL> or <USR> ",Related and informative,Sun Oct 13 03:57:29 +0000 2013,train
18,389244749125017600,enough said <USR> : racism & homophobia is linked to having a lower iq . #redoctober ,Not related,Sun Oct 13 04:22:34 +0000 2013,train
19,389248066819084288,"browns rd , salt ash - fire has jumped the tilligerry creek and #nswrfs aircraft and crews are working to contain spot fires . #n … ",Related and informative,Sun Oct 13 04:35:45 +0000 2013,train
20,389252483412791296,forest / wild fire - australia - australia <URL> ,Related and informative,Sun Oct 13 04:53:18 +0000 2013,train
21,389256438650257408,can the #redoctober marchers also cc the etolls on their placards and chants . can ' t waste a good crowd . ,Not related,Sun Oct 13 05:09:01 +0000 2013,train
22,389258464461348864,smoke billowing from the car - park at sydney olympic park . . . where 20 cars are on fire via <USR> <URL> ,Related - but not informative,Sun Oct 13 05:17:04 +0000 2013,train
23,389262222561525761,nsw * * watch and act - webbs creek ( hawkesbury ) * * 13/10/13 15:57 a bush fire is currently burning between . . . <URL> ,Related and informative,Sun Oct 13 05:32:00 +0000 2013,train
24,389263355057152000,photo : dozens of cars are on fire at sydney olympic park aquatic centre <URL> ,Related and informative,Sun Oct 13 05:36:30 +0000 2013,train
25,389270841864626176,forest / wild fire - australia - australia : edis number : wf - 20131013 - 41255 - ausdate / time : . . . <URL> #anonymous #anonops ,Related and informative,Sun Oct 13 06:06:15 +0000 2013,train
26,389275682099847168,helicopter collecting water for multiple cars on fire at sydney olympic . . . : <URL> via <USR> <USR> ,Related and informative,Sun Oct 13 06:25:29 +0000 2013,train
27,389276814549331968,more than 40 cars have been destroyed in a large fire in #sydney ' s olympic park . <URL> ,Related and informative,Sun Oct 13 06:29:59 +0000 2013,train
28,389281960981327872,"#nswrfs & #frnsw crews on scene working to contain a fire at parbury park ( lake macquarie ) , near the old pacific highway , swans … ",Related and informative,Sun Oct 13 06:50:26 +0000 2013,train
29,389290542527680512,"a fire in australia has been burning for more than 5,000 years ! #interesting #didyouknow ",Not related,Sun Oct 13 07:24:32 +0000 2013,train
30,389316773683527680,<USR> : fire crews are checking car fuel tanks after a grassfire spread to the carpark of sydney ' s olympic aquatic centre #tooclose ,Related and informative,Sun Oct 13 09:08:46 +0000 2013,train
31,389321798472323073,"there is a growing fire near norwest hospital , nsw . fire brigade is in attendance . ",Related and informative,Sun Oct 13 09:28:44 +0000 2013,train
32,389358444098363392,pam says eff is the black version of #redoctober hahaha ,Not related,Sun Oct 13 11:54:21 +0000 2013,train
