id,tweet_id,text,tag,date,partition
2,389908166353231872,"earthquake in iloilo , philippines ! my head ' s aching . ",Related - but not informative,Tue Oct 15 00:18:45 +0000 2013,train
3,389909609190006784,"new : felt #earthquake m7 . 0 - bohol , philippines - october 15, 2013 , 00:12 utc ( 7 min ago ) <URL> ",Related and informative,Tue Oct 15 00:24:29 +0000 2013,train
4,389910137676107776,"7.2 earthquake , 2 km s of nueva vida sur , philippines . oct 15 08:12 at epicenter ( 1 0 m ago , 2 5 km tagbilaran , depth . . . http … ",Related and informative,Tue Oct 15 00:26:35 +0000 2013,train
5,389910670361100288,"just in : magnitude 7.2 earthquake : 2 km south of carmen and nueva vida sur , philippines . | via <USR> <USR> ",Related and informative,Tue Oct 15 00:28:42 +0000 2013,train
6,389911173665001472,"7.2 earthquake , 2 km s of nueva vida sur , philippines . oct 15 08:12 at epicenter ( 1 0 m ago , 2 5 km tagbilaran , depth . . . http … ",Related and informative,Tue Oct 15 00:30:42 +0000 2013,train
7,389911358214393856,"just in : magnitude 7.2 earthquake : 2 km south of carmen and nueva vida sur , philippines . | via <USR> <USR> ",Related and informative,Tue Oct 15 00:31:26 +0000 2013,train
8,389911794442964992,7.2 earthquake recorded in the philippines ' bohol province - <USR> <URL> ,Related and informative,Tue Oct 15 00:33:10 +0000 2013,train
9,389911937040932864,"7.2 earthquake , 2 km s of nueva vida sur , philippines . oct 15 08:12 at epicenter ( 1 0 m ago , 2 5 km tagbilaran , depth . . . http … ",Related and informative,Tue Oct 15 00:33:44 +0000 2013,train
10,389911949644808193,"7.2 earthquake , 2 km s of nueva vida sur , philippines . oct 15 08:12 at epicenter ( 1 0 m ago , 2 5 km tagbilaran , depth . . . http … ",Related and informative,Tue Oct 15 00:33:47 +0000 2013,train
11,389912536834793475,"no widespread tsunami hazard for 7.2 magnitude earthquake in mindanao , philippines #tsunami #ptwc <URL> ",Related and informative,Tue Oct 15 00:36:07 +0000 2013,train
12,389912650068402177,"southern philippines hit by 7.4 magnitude earthquake , no threat of pacific - wide tsunami . ",Related and informative,Tue Oct 15 00:36:34 +0000 2013,train
13,389913535074926593,bendícenos señor por el terremoto terrible . #prayforphilippines #philippines #dumaguete #earthquake ,Related - but not informative,Tue Oct 15 00:40:05 +0000 2013,train
14,389913589596704768,7.2 earthquake in philippines just now <URL> via : <USR> ,Related and informative,Tue Oct 15 00:40:18 +0000 2013,train
15,389913644131045376,"#earthquake quake with prelim mag of 7.2 struck philippines , 25 miles east - northeast of tagbilaran , bohoi ; no tsunami warning yet ",Related and informative,Tue Oct 15 00:40:31 +0000 2013,train
16,389913971287154688,#breaking : 7.2 quake hits southern #philippines ; no threat of pacific - wide tsunami <URL> ,Related and informative,Tue Oct 15 00:41:49 +0000 2013,train
17,389913979687944193,it ' s a good thing the kids are at home today . #earthquake #bacolod #philippines ,Related - but not informative,Tue Oct 15 00:41:51 +0000 2013,train
18,389914239730610176,"magnitude 7.4 quake hits philippines , no tsunami threat : sydney ( reuters ) - an earthquake with a preliminary m . . . <URL> ",Related and informative,Tue Oct 15 00:42:53 +0000 2013,train
19,389915464446795776,"no widespread tsunami hazard for 7.2 magnitude earthquake in mindanao , philippines #tsunami #ptwc <URL> ",Related and informative,Tue Oct 15 00:47:45 +0000 2013,train
20,389917091823763456,"usgs m 7.2 , 5 km e of balilihan , philippines : tuesday , october 15, 2013 00:12:37 utctuesday , octobe . . . <URL> #earthquake ",Related and informative,Tue Oct 15 00:54:13 +0000 2013,train
21,389917205078753280,"photo : magnitude 7.2 quake 5 km e of balilihan , bohol , philippines . please stay safe . <URL> ",Related and informative,Tue Oct 15 00:54:40 +0000 2013,train
22,389917750363029504,"#temblor ♨ m 5.4 , 6 km nne of nueva fuerza , philippines <URL> #earthquake #sismo ",Related and informative,Tue Oct 15 00:56:50 +0000 2013,train
23,389918157202128896,"photo : magnitude 7.2 quake 5 km e of balilihan , bohol , philippines . please stay safe . <URL> ",Related and informative,Tue Oct 15 00:58:27 +0000 2013,train
24,389918857642536960,"new : significant preliminary 7.2 magnitude earthquake just off nueva vida sur , philippines - <USR> ",Related and informative,Tue Oct 15 01:01:14 +0000 2013,train
25,389919981720195073,there was a 7.2 magnitude earthquake in philippines after u posted that g . u . y . snippet . this world can ' t handle #artpop . <USR> … ,Related and informative,Tue Oct 15 01:05:42 +0000 2013,train
26,389920120119635969,national disaster agency : 4 people killed in building collapse in cebu after philippines quake - <USR> ,Related and informative,Tue Oct 15 01:06:15 +0000 2013,train
27,389920547934449664,a 7.4 magnitude #earthquake has hit the southern #philippines . there ' s no threat of a #tsunami . ,Related and informative,Tue Oct 15 01:07:57 +0000 2013,train
28,389922229871321088,"4 people killed in building collapse in cebu philippines after 7.2 earthquake , per national disaster agency - <USR> ",Related and informative,Tue Oct 15 01:14:38 +0000 2013,train
