,id,tweet_id,text,tag,date,partition
602,883,297146943296122881,so sad to hear about the nightclub fire in brazil . such a tragedy . praying for everyone affected down there . ,Related - but not informative,Fri Feb 01 00:58:46 +0000 2013,train
603,884,297147727614193664,"union bank of ca in #santamaria , #ca - <URL> ",Not applicable,Fri Feb 01 01:01:53 +0000 2013,train
604,885,297165888946331648,"acaba de falecer matheus raschen , mais uma vitima da boate kiss . vá em paz meu caro . . . <USR> <USR> ",Related and informative,Fri Feb 01 02:14:03 +0000 2013,train
605,886,297180665508659201,envio minhas orações para as vítimas do incêndio no clube em #santamaria . o meu coração está com vocês #brasil . ❤ #prayforsa . . . ,Related - but not informative,Fri Feb 01 03:12:46 +0000 2013,train
606,887,297181080748957696,abri a armário e ? ? ? sim um babaca do facebook falando da boate kiss ,Not related,Fri Feb 01 03:14:25 +0000 2013,train
607,888,297209442632617984,que horas são ? a mesma de ontem ai nossa amg q engra vc toma aqui um ingresso pra curtir a night na boate kiss ,Related - but not informative,Fri Feb 01 05:07:07 +0000 2013,train
608,889,297236051272024064,absurdo ! ! ! empresa de bombeiro executou obra do plano de segurança da boate kiss <URL> … p / isso não fizeram vistoria na data ? ,Related and informative,Fri Feb 01 06:52:51 +0000 2013,train
609,890,297257895215640576,"santa maria : incêndio na boate kiss faz mais uma vítima ; total de mortos já é de 236 : morreu , na noite desta qui . . . <URL> ",Related and informative,Fri Feb 01 08:19:39 +0000 2013,train
610,891,297306582679703553,"galera agora que ja abafou o caso , peço perdão por ter tocado fogo na boate kiss ",Related - but not informative,Fri Feb 01 11:33:07 +0000 2013,train
611,892,297307652256583681,softwares podem ajudar a evitar tragédias como a da boate kiss : programas de computador em estudo em universidad . . . <URL> ,Not related,Fri Feb 01 11:37:22 +0000 2013,train
612,893,297335213007204352,excelente palavra sobre #santamaria : https://t.co/opstpx7p ,Related - but not informative,Fri Feb 01 13:26:53 +0000 2013,train
613,894,297338543284559873,destaque de hoje do boletim da <USR> : veja fotos da tragédia na boate kiss em santa maria . deprimente . tenho . . . ,Related and informative,Fri Feb 01 13:40:07 +0000 2013,train
614,895,297348781601615872,"marcello reis , <USR> e <USR> serão processados pelo <USR> por calúnia <URL> #santamaria ",Related and informative,Fri Feb 01 14:20:48 +0000 2013,train
615,896,297351017161449472,justiça concede prorrogação de prisões temporárias de donos da boate kiss e integrantes de banda . <URL> ,Related and informative,Fri Feb 01 14:29:41 +0000 2013,train
616,897,297359447716683778,"marcello reis , <USR> e <USR> serão processados pelo <USR> por calúnia <URL> #santamaria ",Not related,Fri Feb 01 15:03:11 +0000 2013,train
617,898,297369547579740164,advogado de sócio da boate kiss afirma que compra de espuma foi indicada por engenheiro <URL> ,Related and informative,Fri Feb 01 15:43:19 +0000 2013,train
618,899,297389390840340480,a tragédia em #santamaria deixou todo mundo em estado de alerta : metade dos eventos o gov do #rio cancelou e metade cancel . . . ,Related and informative,Fri Feb 01 17:02:10 +0000 2013,train
619,900,297392620437643264,funcionário da boate kiss acompanhou o trabalho da perícia : técnicos fazem nova perícia na boate kiss em santa maria <URL> ,Related and informative,Fri Feb 01 17:15:00 +0000 2013,train
620,901,297393065063235585,"sessenta e quatro pessoas continuam internadas em estado grave , depois do incêndio na boate kiss , na cidade gaúcha . . . ",Related and informative,Fri Feb 01 17:16:46 +0000 2013,train
621,902,297403332719431680,<USR> <USR> you mean even more trouble ! ! ! ! fingers are being pointed at luis for the nightclub fire in brazil last week ,Related - but not informative,Fri Feb 01 17:57:34 +0000 2013,train
622,903,297424170017505280,so sad to hear about the nightclub fire in brazil . such a tragedy . praying for everyone affected down there . ,Related - but not informative,Fri Feb 01 19:20:22 +0000 2013,train
623,904,297431279337623553,prisão de sócios da boate kiss e músicos é prorrogada por 30 dias : prorrogação foi concedida pelo juiz plantonis . . . <URL> ,Related and informative,Fri Feb 01 19:48:37 +0000 2013,train
624,905,297447830065393666,"muito triste pelo acontecido na boate kiss , que deus conforte os familiares . ",Related - but not informative,Fri Feb 01 20:54:23 +0000 2013,train
625,906,297449553945313280,por que a boate pegou fogo ? porque ela kiss kiss kiss kiss ,Related - but not informative,Fri Feb 01 21:01:14 +0000 2013,train
626,907,297457678286999552,a bicha velha do <USR> tem um caso amoroso com o eduardo paes e será processada pelo <USR> #calúnia #santamaria ,Not related,Fri Feb 01 21:33:31 +0000 2013,train
627,908,297476959536041984,tragédia na boate kiss aqui no rs 236 mortos . fiquem em paz ! ,Related and informative,Fri Feb 01 22:50:08 +0000 2013,train
506,984,299782346138341379,"after nightclub fire that killed 238 , worries are raised about safety during brazil ' s carnival : <URL> - ras ",Related and informative,Fri Feb 08 07:30:55 +0000 2013,train
507,985,299939410223435777,três feridos no incêndio da boate kiss deixam ventilação mecânica e internados agora baixam a 64 - <URL> ,Related and informative,Fri Feb 08 17:55:02 +0000 2013,train
485,934,298224023769346052,sério que vcs ainda piadinha boate kiss ,Related - but not informative,Mon Feb 04 00:18:42 +0000 2013,train
