,id,tweet_id,text,tag,date,partition
995,892,408751127425847296,antarctic helicopter crash victims return to hobart <URL> ,Not related,Fri Dec 06 00:13:57 +0000 2013,train
996,893,408761923539587074,#medellin #christmas #trip #helicopter y pa donde nos vamos hoy ps ? 😝 🎄 <USR> centro comercial premiun plaza <URL> ,Not related,Fri Dec 06 00:56:51 +0000 2013,train
997,894,408820929007865856,australians injured in antarctic helicopter crash return to hobart - yahoo ! 7 news <URL> #hobart ,Not related,Fri Dec 06 04:51:19 +0000 2013,train
998,895,408830374610231296,<URL> search for survivors after helicopter hits glasgow pub ,Related and informative,Fri Dec 06 05:28:51 +0000 2013,train
999,896,408948809159696384,should #glasgow #whisky firm <USR> create a special edition to raise money for #clutha victims ? #csr ,Related and informative,Fri Dec 06 13:19:28 +0000 2013,train
1000,897,408949018887462912,should #glasgow #whisky firm <USR> create a special edition to raise money for #clutha victims ? #csr ,Not related,Fri Dec 06 13:20:18 +0000 2013,train
1001,898,408949333430902784,should #glasgow #whisky firm <USR> create a special edition to raise money for #clutha victims ? #csr ,Related - but not informative,Fri Dec 06 13:21:33 +0000 2013,train
1002,899,408983739306627072,"hats off to <USR> who dedicated a tune to everyone , including the emergency services involved in #clutha ",Related - but not informative,Fri Dec 06 15:38:16 +0000 2013,train
1003,900,408986960532111360,video : helicopter crash : police helicopter lifted from glasgow pub <URL> #scotland ,Related and informative,Fri Dec 06 15:51:04 +0000 2013,train
1004,901,409005876867891200,#clutha tragedy : prince charles visits the scene where nine people died when a police helicopter crashed into a pub . h … ,Related and informative,Fri Dec 06 17:06:14 +0000 2013,train
1005,902,409020829566251008,prince charles visits clutha helicopter crash site <URL> ,Related and informative,Fri Dec 06 18:05:39 +0000 2013,train
1006,903,409033496347561984,feel immensely proud this week that our country has glasgow . what a brilliant city and brilliant people . #clutha #mandela ,Not related,Fri Dec 06 18:55:59 +0000 2013,train
1007,904,409081936355676160,witness appeal on helicopter crash : police officers on duty in the area of the police helicopt . . . <URL> #teamfollowback ,Related and informative,Fri Dec 06 22:08:28 +0000 2013,train
1008,905,409082171249262592,. <USR> witness appeal on helicopter crash : police officers on duty in the area of the police helicopter crash in . . . <USR> ,Related and informative,Fri Dec 06 22:09:24 +0000 2013,train
1009,906,409087124739469312,a new dance called the #helicopter https://t.co/wcqa6trfdy ,Not related,Fri Dec 06 22:29:05 +0000 2013,train
1010,907,409101729267859456,<USR> - witness appeal on helicopter crash : police officers on duty in the area of the police helicopter crash in . . . <USR> ,Related and informative,Fri Dec 06 23:27:07 +0000 2013,train
976,952,411338962670583809,ninth clutha funeral to be held : the funeral of a man who died in the clutha helicopter crash in glasgow is to . . . <URL> ,Related and informative,Fri Dec 13 03:37:05 +0000 2013,train
977,953,411339130405015552,<USR> ninth clutha funeral to be held : the funeral of a man who died in the clutha helicopter crash in glasgo . . . #wreckingbail ,Related and informative,Fri Dec 13 03:37:45 +0000 2013,train
978,954,411350526358331392,<USR> ninth clutha funeral to be held : the funeral of a man who died in the clutha helicopter crash in glasgo . . . #wreckingbail ,Related and informative,Fri Dec 13 04:23:02 +0000 2013,train
979,955,411350568305557504,. <USR> ninth clutha funeral to be held : the funeral of a man who died in the clutha helicopter crash in glasg . . . #wreckingbail ,Related and informative,Fri Dec 13 04:23:12 +0000 2013,train
980,956,411350601855811584,. <USR> ninth clutha funeral to be held : the funeral of a man who died in the clutha helicopter crash in glasg . . . #wreckingbail ,Related and informative,Fri Dec 13 04:23:20 +0000 2013,train
981,957,411350723494813696,the funeral of a man who died in the clutha helicopter crash in glasgow is to be held in the castlemilk area of the city . <USR> ,Related and informative,Fri Dec 13 04:23:49 +0000 2013,train
982,958,411543422399680512,going to set up a charity just giving page for the clutha bar helicopter crash victims families details be out soon 👍 ,Related and informative,Fri Dec 13 17:09:32 +0000 2013,train
910,1022,413836981047545856,<USR> : . <USR> identifies #usarmy casualties from december 17 helicopter crash : <URL> #honorthefallen ,Not related,Fri Dec 20 01:03:19 +0000 2013,train
911,1023,413871013630578689,“ <USR> : #marietta soldier killed n helicopter crash n afghanistan <URL> #kennesawmountain #ripom … ,Not related,Fri Dec 20 03:18:33 +0000 2013,train
912,1024,413877535768731648,"5 soldiers died in a helicopter crash in afghanistan and no one seems to care , but your favorite tv star speaks his mind an … ",Not related,Fri Dec 20 03:44:28 +0000 2013,train
913,1025,413937778591023104,pentagon announced names of the 6 soldiers killed in the dec . 17 helicopter crash in afghanistan . . . 1 / 7 ,Not related,Fri Dec 20 07:43:51 +0000 2013,train
914,1026,414014605631827968,"<USR> clutha appeal fund raises £220,000 : a fund set up to help people and families affected by the glasgow helicopter crash ra . . . ",Related and informative,Fri Dec 20 12:49:08 +0000 2013,train
915,1027,414016455311507458,katie hopkins apologises for tweet about scottish life expectancy following glasgow helicopter crash <URL> via <USR> ,Related and informative,Fri Dec 20 12:56:29 +0000 2013,train
916,1028,414097879364820992,six american soldiers killed in afghan helicopter crash <URL> #nato #sixamerican ,Not related,Fri Dec 20 18:20:02 +0000 2013,train
917,1029,414109073940824064,#drones ! navy drones ! <URL> cc <USR> <USR> <USR> <USR> #milhist #helicopter #navy ,Not related,Fri Dec 20 19:04:31 +0000 2013,train
918,1030,414177172689911808,rip to our fort riley soldiers who passed in afghanistan due to a helicopter crash 😔 🇺 🇸 <URL> ,Not related,Fri Dec 20 23:35:07 +0000 2013,train
919,1031,414178028294397953,rip to our fort riley soldiers who passed in afghanistan due to a helicopter crash 😔 🇺 🇸 <URL> ,Not related,Fri Dec 20 23:38:31 +0000 2013,train
503,0,406495271334719488,my car air freshener is better than yours #helicopter #bigkid <URL> ,Not related,Fri Nov 29 18:49:59 +0000 2013,train
504,1,406553907700449280,terrible here in glasgow helicopter crashed into roof of pub ,Related and informative,Fri Nov 29 22:42:59 +0000 2013,train
505,2,406555220513394688,helicopter ' crashes into pub in glasgow ' <URL> the clutha bar ,Related and informative,Fri Nov 29 22:48:12 +0000 2013,train
506,3,406555392492462080,breaking : a helicopter has crashed in to the roof of a glasgow city centre pub . more to follow . ,Related and informative,Fri Nov 29 22:48:53 +0000 2013,train
507,4,406555799344136193,labour mp jim murphy says a helicopter has crashed into the roof of a pub in glasgow ,Related and informative,Fri Nov 29 22:50:30 +0000 2013,train
508,5,406556302643822592,anybody heard anything about a helicopter crashing into a pub in glasgow ? ? ? ,Related - but not informative,Fri Nov 29 22:52:30 +0000 2013,train
509,6,406557292516368384,terrible news of a helicopter crashing into the clutha in glasgow . hope everyone is ok <URL> ,Related - but not informative,Fri Nov 29 22:56:26 +0000 2013,train
510,7,406557414130212864,wtf a helicopter has crashed in a pub in glasgow ? ? ? ? ? ? the clutha or suhin at the clyde side ,Related - but not informative,Fri Nov 29 22:56:55 +0000 2013,train
511,8,406557539992875008,update - reports of multiple people trapped after helicopter crashes into the roof of a pub in glasgow ,Related and informative,Fri Nov 29 22:57:25 +0000 2013,train
512,9,406557665788436480,a helicopter has crashed into a pub in glasgow https://t.co/lwkvrrj44n ,Related and informative,Fri Nov 29 22:57:55 +0000 2013,train
513,10,406557728715591680,helicopter crash in glasgow not sounding good :( ,Related - but not informative,Fri Nov 29 22:58:10 +0000 2013,train
