id,tweet_id,text,tag,date,partition
0,396205490209693696,king d royalty <URL> … #la #lax #oakland #sf #bayarea #vegas #losangeles #cali #seo #smm #wp #oc #music #blogs #turnup 34 ,Not related,Fri Nov 01 09:22:04 +0000 2013,train
1,396263979762196480,king d royalty <URL> … #la #lax #oakland #sf #bayarea #vegas #losangeles #cali #seo #smm #wp #oc #music #blogs #turnup 81 ,Not applicable,Fri Nov 01 13:14:29 +0000 2013,train
2,396313082466541568,something ' s happening <USR> #lax rt now ! ! re - tweet . ,Related - but not informative,Fri Nov 01 16:29:36 +0000 2013,train
3,396313543865552896,"#kourtneykardashian is seen arriving at #lax airport on october 31, 2013 in los angeles <URL> ",Not related,Fri Nov 01 16:31:26 +0000 2013,train
4,396314030383443968,"what the hell is going on at lax , and why does something bad always happen at an airport on days that i fly ? explain , <USR> . ",Related - but not informative,Fri Nov 01 16:33:22 +0000 2013,train
5,396314902794498048,gunfire on the tarmac . rt <USR> #breaking : #lapd : incident reported in terminal 3 at #lax . <URL> ,Related and informative,Fri Nov 01 16:36:50 +0000 2013,train
6,396315108311199744,gunshots outside #lax . unknown if anyone is injured . prayers go out to you all . ,Related - but not informative,Fri Nov 01 16:37:39 +0000 2013,train
7,396315481621012480,shooting in terminal 3 ? hard to get specifics . rt <USR> what the hell is going down at #lax ? ,Related and informative,Fri Nov 01 16:39:08 +0000 2013,train
8,396315620050223104,breaking shooting at lax . terminal 2 sources say report 2 victims down . suspect down . ,Related and informative,Fri Nov 01 16:39:41 +0000 2013,train
9,396317146751307776,california should pass gun control . rt <USR> : breaking shooting at lax . terminal 2 sources say report 2 victims down … ,Related and informative,Fri Nov 01 16:45:45 +0000 2013,train
10,396317180309938176,at #lax . just had to run onto runway because of shooting in terminal 2 <URL> ,Related and informative,Fri Nov 01 16:45:53 +0000 2013,train
11,396317331330433024,"eyewitness : <USR> reports hearing gun shots , then everyone starting running for the door . outside now <USR> #lax http … ",Related and informative,Fri Nov 01 16:46:29 +0000 2013,train
12,396317406798553088,"shots fired , airport evacuated at #lax is what im seeing all over my timeline . ",Related and informative,Fri Nov 01 16:46:47 +0000 2013,train
