id,tweet_id,text,tag,date,partition
149,353673586675953665,"kanye : imma let lac - megantic finish , but halifax had one of the best explosions of all time ! ! ",Related - but not informative,Sun Jul 07 00:35:28 +0000 2013,train
150,353681136423145472,"lac - mégantic : des commerces dont il ne reste plus que la façade . ( crédit : rené jobin , <USR> ) . <URL> ",Related - but not informative,Sun Jul 07 01:05:28 +0000 2013,train
151,353681585247240192,#déflagration #lacmégantic photo prise de l ' hélicoptère de la sûreté du québec : <URL> ,Related and informative,Sun Jul 07 01:07:15 +0000 2013,train
152,353682164048601090,rt <USR> : seule la croix - rouge du québec est autorisée à amasser des dons pour les sinistrés de #lacmegantic #rces ,Related and informative,Sun Jul 07 01:09:33 +0000 2013,train
153,353682549937143808,je me coucherai ce soir le cœur rempli de tristesse et de sympathie pour les gens de lac mégantic . . . et j ' apprécie ce que j ' a … ,Related - but not informative,Sun Jul 07 01:11:05 +0000 2013,train
154,353684462527184896,huffpostquébec reports * at least * 80 missing #lacmegantic <URL> ,Related and informative,Sun Jul 07 01:18:41 +0000 2013,train
155,353686282842550272,"mon ami guy bolduc était au lac - mégantic hier soir , il était chansonnier au musi - café , si quelqu ' un a des nouvelles , fait … ",Related and informative,Sun Jul 07 01:25:55 +0000 2013,train
156,353687482409287683,prayers for lac megantic tonight . . . . what an unbelievable tragedy ,Related - but not informative,Sun Jul 07 01:30:41 +0000 2013,train
157,353688728121778176,"mt <USR> : train carrying petrochemicals explodes in lac - megantic , quebec , destroying many buildings <URL> ",Related and informative,Sun Jul 07 01:35:38 +0000 2013,train
158,353688841376378881,"about time ! rt <USR> : ap video : train carrying crude oil derails in quebec , sparking explosions , forcing evacuations : <URL> ",Related and informative,Sun Jul 07 01:36:05 +0000 2013,train
159,353689852212019200,<USR> why are you not showing the disaster in quebec with the oil train ? ? ? ,Related - but not informative,Sun Jul 07 01:40:06 +0000 2013,train
160,353690770764599296,deadly quebec oil train disaster and athabasca river spill on same day as tar sands healing walk <URL> ,Related and informative,Sun Jul 07 01:43:45 +0000 2013,train
161,353692469428355072,#lacmégantic : les #citoyens qui ont des questions relatives à la qualité de leur #eau potable doivent communiquer avec leur municipalité . ,Related - but not informative,Sun Jul 07 01:50:30 +0000 2013,train
162,353692947587416068,there were at least 50 people in the bar . there is nothing left . - quebec firefighter <URL> #lacmegantic ,Related and informative,Sun Jul 07 01:52:24 +0000 2013,train
163,353692947612573696,#lacmégantic #pétrole #gazdechiste #fracking #fracturationhydraulique #transport #pipeline #environnement . . . <URL> ,Related - but not informative,Sun Jul 07 01:52:24 +0000 2013,train
164,353693320888856577,holy sh*t mt <USR> : “ <USR> : #déflagration #lacmégantic photo prise de l ' hélicoptère <URL> ,Related - but not informative,Sun Jul 07 01:53:53 +0000 2013,train
165,353693367009415168,troublant d ' appredre que la loco était en flame 2 hrs avant la tragédie où était les autorités ? #lacmegantic #fail ,Related and informative,Sun Jul 07 01:54:04 +0000 2013,train
166,353694025523539969,"a train carrying crude oil crashed near lac - megantic of quebec , canada , ne . . . #cbseveningnewswithscottpelley #getglue <URL> ",Related and informative,Sun Jul 07 01:56:41 +0000 2013,train
167,353695120228483072,quebec police say they expect the death toll from fuel oil train blast to increase ,Related and informative,Sun Jul 07 02:01:02 +0000 2013,train
168,353695493538328576,#fail - un autre qui a leur cœur à la fête . bravo mr [ wannabe maire de montréal ] denis coderre pr ce msg <URL> #lacmegantic ,Related - but not informative,Sun Jul 07 02:02:31 +0000 2013,train
169,353697922044542978,"cbc : provincial police now reporting up to 100 missing in lac - mégantic , quebec runaway oil train explosion <URL> ",Related and informative,Sun Jul 07 02:12:10 +0000 2013,train
170,353699465531629570,"le communiqué émis par mma , près de 18 heures après l ' événement de lac #megantic . pathétique . <URL> ",Related and informative,Sun Jul 07 02:18:18 +0000 2013,train
171,353699545256964097,rail line carrying fracked oil in #lacmegantic same line ef ! & <USR> blockaded last week <URL> http :/ … ,Related and informative,Sun Jul 07 02:18:37 +0000 2013,train
172,353699666883383296,flames and smoke still billowing from site of train derailment in lac megantic <URL> ,Related and informative,Sun Jul 07 02:19:06 +0000 2013,train
173,353700149236736001,<URL> #quebec #explosion #train ddd = ,Related - but not informative,Sun Jul 07 02:21:01 +0000 2013,train
174,353706306445647872,"thoughts & prayers for lac mégantic . 1 dead , 80 still missing . . . ",Related - but not informative,Sun Jul 07 02:45:29 +0000 2013,train
175,353709192118411267,la catastrophe du lac - mégantic va rameuter les cheerleaders de pipeline . et si on questionnait notre dépendance au pétr … ,Related - but not informative,Sun Jul 07 02:56:57 +0000 2013,train
176,353709720604905472,canada police expect death toll in oil train blast to rise <URL> ,Related and informative,Sun Jul 07 02:59:03 +0000 2013,train
177,353709989052940288,at least one person dead and 80 missing after train carrying crude oil explodes in quebec <URL> ,Related and informative,Sun Jul 07 03:00:07 +0000 2013,train
178,353710857278074880,5 paragraphes pour arriver à des « heartfelt condolences » aux gens de #lacmegantic <URL> / <URL> ,Related - but not informative,Sun Jul 07 03:03:34 +0000 2013,train
179,353715068363485184,"courage #lacmegantic . après l ' horreur , la peine et la révolte , restera la solidarité . on pense à vous . ",Related - but not informative,Sun Jul 07 03:20:18 +0000 2013,train
180,353715403920388099,"a true tragedy , even worse than what recently hit west , tx , has struck lac megantic , quebec today <URL> … ",Related and informative,Sun Jul 07 03:21:38 +0000 2013,train
