id,tweet_id,text,tag,date,partition
0,368659239272579073,weather bulletin no . 2 tropical cyclone alert : tropical depression “ #maringph ” issued at 11:00am 17 august . . . <URL> ,Related and informative,Sat Aug 17 09:03:06 +0000 2013,train
1,368673453785636864,"sa datos ng <USR> , huling namataan ang td #maringph 325 km silangan ng itbayat , batanes . ",Related and informative,Sat Aug 17 09:59:35 +0000 2013,train
2,368676146541371392,fuck ayoko ng baha . paano ako sa manila gdi purnada ang gala hahaha ,Related - but not informative,Sat Aug 17 10:10:17 +0000 2013,train
3,368679682322874371,tropical depression maring is moving east southeast at 1 1 kph #maringph ,Related and informative,Sat Aug 17 10:24:20 +0000 2013,train
4,368929037877403652,intramuros baha . i miss manila . <URL> ,Related and informative,Sun Aug 18 02:55:11 +0000 2013,train
5,368934792475054080,"pagasa : #maringph moves east , monsoon to bring rain over phl <URL> ",Related and informative,Sun Aug 18 03:18:03 +0000 2013,train
6,368967734542864384,"pagasa 12:20pm : yellow advisory for metro manila . moderate - heavy rains in next 3 hours , possible floods in low - lying areas ",Related and informative,Sun Aug 18 05:28:57 +0000 2013,train
7,368967986213687296,"<USR> : pagasa 12:20pm : yellow advisory for metro manila . moderate - heavy rains in next 3 hours , possible floods in … ",Related and informative,Sun Aug 18 05:29:57 +0000 2013,train
8,369036751815204864,"“ <USR> : sa metro manila , makararanas ng makulilim na langit at hanggang katamtamang pag - ulan hanggang sa martes . #maringph ” <USR> ",Related and informative,Sun Aug 18 10:03:12 +0000 2013,train
9,369037812986675200,"sa metro manila , makararanas ng makulilim na langit at hanggang katamtamang pag - ulan hanggang sa martes . #maringph ",Related and informative,Sun Aug 18 10:07:25 +0000 2013,train
10,369039335498076160,"wag mo akong paasahin , ayokong masaktan . #maring ",Not related,Sun Aug 18 10:13:28 +0000 2013,train
11,369042078577090560,"pagasa 6pm : yellow advisory for metro manila . moderate - heavy rains to continue in next 3 hours , floods possible . | via <USR> … ",Related and informative,Sun Aug 18 10:24:22 +0000 2013,train
12,369050983084466177,"bagyong #maringph , lumakas pa ; pinag - iibayo ang habagat <URL> <URL> ",Related and informative,Sun Aug 18 10:59:45 +0000 2013,train
13,369052908278407168,sungit ni aling #maringph ,Not related,Sun Aug 18 11:07:24 +0000 2013,train
14,369065189200510976,fvck baha na daw sa manila -.- buti di ako umuwi sa dorm :)) ,Related - but not informative,Sun Aug 18 11:56:12 +0000 2013,train
15,369067739320553474,sana walang pasok bukas . :< flood daw sa metro manila . sabi ni pag - asa . ,Related - but not informative,Sun Aug 18 12:06:20 +0000 2013,train
16,369071744893480960,"<USR> <USR> hindi masyado , mandaluyongers ako . haha . sa manila , baha na . hindi pa nagrereply si tito erap kung isususpend niya . ",Related - but not informative,Sun Aug 18 12:22:15 +0000 2013,train
17,369078837469908992,"sa metro manila , makararanas ng makulilim na langit at hanggang katamtamang pag - ulan hanggang sa martes . #maringph ",Related and informative,Sun Aug 18 12:50:26 +0000 2013,train
18,369087058293186561,"pagasa raises red rainfall warning , the highest rainfall alert , over metro manila . expect torrential rains , flood in low - lyi … ",Related and informative,Sun Aug 18 13:23:06 +0000 2013,train
19,369088555659702272,<USR> may pasok po ba bukas ceu manila ? baha na po sa amin eh :(((((( ,Related - but not informative,Sun Aug 18 13:29:03 +0000 2013,train
20,369089159635283968,pagasa : red rainfall warning no . 6 weather system : southwest monsoon ( #habagat ) enhanced by tropical storm . . . <URL> ,Related and informative,Sun Aug 18 13:31:27 +0000 2013,train
21,369089872666963968,"metro manila classes in all levels declared #walangpasok for mon , aug 19 . | #maringupdates ",Related and informative,Sun Aug 18 13:34:17 +0000 2013,train
22,369091105783955458,corrected : city of manila has been declared #walangpasok tom . not the entire metro manila . #maringupdates ,Related and informative,Sun Aug 18 13:39:11 +0000 2013,train
23,369092347323105281,<USR> : no classes tomorrow . sure na sure na daw . ingat ang lahat . god bless :) #maring - swerte ! ! :) ,Related and informative,Sun Aug 18 13:44:07 +0000 2013,train
24,369092733182304257,"flashlight , baterya , kandila , posporo : balutin din sa plastic . maghanda ng pagkain at tubig , damit pampalit #maring ",Related and informative,Sun Aug 18 13:45:39 +0000 2013,train
25,369092896755961856,<USR> : sino si #maring ? ,Related - but not informative,Sun Aug 18 13:46:18 +0000 2013,train
26,369093215552430081,red rainfall warning no . 6 weather system : southwest monsoon ( #habagat ) enhanced by tropical storm “ maring ” . . . <URL> ,Related and informative,Sun Aug 18 13:47:34 +0000 2013,train
27,369093228114358272,yung eksenang i - charge na din ng bongga lahat ng important gadgets at appliances . be vigilant and be alert . #rescueph  … ,Related - but not informative,Sun Aug 18 13:47:37 +0000 2013,train
28,369093806924111873,"buti pa sa metro manila , wala nang pasok bukas . pero umaariba na si baha . keep safe everyone ! ",Related - but not informative,Sun Aug 18 13:49:55 +0000 2013,train
29,369093823701344256,enzo : tara lakarin natin hanggang san juan . bili tayo ng bota . me : hanggang bewang na yan . anong use ng bota ? #maringph #stranded ,Related - but not informative,Sun Aug 18 13:49:59 +0000 2013,train
30,369094243144314881,"baha na for sure sa recto , sa quiapo , sa espana , sa sm manila . baha na lhat ng way ko papasok ! ! ",Related and informative,Sun Aug 18 13:51:39 +0000 2013,train
31,369095400759635968,klase nagsuspend na ! pano naman kmeng mgaempleyado ? dadaanan dinnmn namin angmga dadaanan ng mga estudyante a . hehehe ! #nowork #maring ,Related - but not informative,Sun Aug 18 13:56:15 +0000 2013,train
32,369098001236504577,#maringph ? adviser nila <USR> ,Related and informative,Sun Aug 18 14:06:35 +0000 2013,train
33,369098366161928192,"yung eksenang walang tigil ang ulan , mas mabuting maging handa . #rescueph #floodsph #getreadypinas <URL> ",Related - but not informative,Sun Aug 18 14:08:02 +0000 2013,train
34,369099410526855170,i ' d like to advice everyone to please use the unified hashtag #rescueph for rescue queries . help save our fellow men . ,Related and informative,Sun Aug 18 14:12:11 +0000 2013,train
35,369107916571160576,use the #rescueph hash in any assistance needed . ,Related and informative,Sun Aug 18 14:45:59 +0000 2013,train
36,369108298269597696,may saksakan sa dlsu ! ! ! ! ! ! saksakan ng gwapo ! arestuhin nyo si <USR> <3 #rescueph hihihi ,Not applicable,Sun Aug 18 14:47:30 +0000 2013,train
37,369114610676146179,11:00 pm moderate to heavy rains due to sw monsoon ( #habagat ) is affecting of quezon and most likely to continue for the n … ,Related and informative,Sun Aug 18 15:12:35 +0000 2013,train
38,369115017536217090,11:00 pm moderate to heavy rains due to sw monsoon ( #habagat ) is affecting of quezon and most likely to continue for the n … ,Related and informative,Sun Aug 18 15:14:12 +0000 2013,train
39,369116846261166080,mmda : floods reach waist - deep levels in parts of quezon city <URL> #manilanews #manila #metronews ,Related and informative,Sun Aug 18 15:21:28 +0000 2013,train
40,369118968566394880,weather bulletin no . 5 tropical cyclone alert : tropical storm “ #maringph ” - 11:15pm 18 august 2013 <URL> vi … ,Related and informative,Sun Aug 18 15:29:54 +0000 2013,train
41,369121183150505985,live <USR> : commuters are now stranded near a mall beside manila city hall due to rising floods #rescueph ,Related and informative,Sun Aug 18 15:38:42 +0000 2013,train
42,369121317393424384,hinayupak na ulan yan ayaw pa tumigil ! ! ! shoooooo ! #maringph ,Related - but not informative,Sun Aug 18 15:39:14 +0000 2013,train
43,369122047189725184,ts #maringph strength : maximum winds of 75 kph near the center and gustiness of 90 kph ; movement : forecast to move southeast a … ,Related and informative,Sun Aug 18 15:42:08 +0000 2013,train
44,369122655359598592,"tropical storm maring will continue to enhance the southwest monsoon , which will bring moderate - heavy rains in luzon #maring … ",Related and informative,Sun Aug 18 15:44:33 +0000 2013,train
