id,tweet_id,text,tag,date,partition
131,295320328077451264,just saw a bird fall out of the sky #bigwet ,Not related,Sun Jan 27 00:00:27 +0000 2013,train
132,295322827891036160,"to all my qld friends , please stay safe . the rest of australia will be thinking of you #bigwet <USR> ",Related - but not informative,Sun Jan 27 00:10:23 +0000 2013,train
133,295324484657893376,the australian govt has an official ' disaster watch ' app for ios and android . details at <URL> #bigwet ,Related and informative,Sun Jan 27 00:16:58 +0000 2013,train
134,295332244107702272,genius ! rt “ <USR> : <USR> beat my high tech ipad water proofing technique ! #bigwet <URL> ,Not related,Sun Jan 27 00:47:48 +0000 2013,train
135,295332831318667264,commissioner stewart says it ' s absolute lunacy to be driving through flooded creeks . speaking with <USR> now #bigwet ,Related and informative,Sun Jan 27 00:50:08 +0000 2013,train
136,295335339529228288,warrego alert : truckies reporting highway east of dalby starting to fall apart . #bigwet #qldfloods ,Related and informative,Sun Jan 27 01:00:06 +0000 2013,train
137,295335389848289281,<USR> are you still snowing ? because meanwhile in australia we are having tornadoes and a lot of flooding ,Related - but not informative,Sun Jan 27 01:00:18 +0000 2013,train
138,295335419187453952,swollen drain at nundah #bigwet <URL> ,Not related,Sun Jan 27 01:00:26 +0000 2013,train
139,295336140603547648,#bigwet . sex aint any better than love ,Not related,Sun Jan 27 01:03:17 +0000 2013,train
140,295336987852951552,army on standby amid #qld flood crisis <URL> #tornados #brisbane ,Related and informative,Sun Jan 27 01:06:39 +0000 2013,train
141,295341916160139264,sunshine coast airport has been closed today . all flights in and out are cancelled due to strong winds #qld #bigwet ,Related and informative,Sun Jan 27 01:26:14 +0000 2013,train
142,295345078694727681,"stay away from fallen powerlines , warn others and call triple zero ( 000 ) or 13 16 70 to report them #bigwet ",Related and informative,Sun Jan 27 01:38:48 +0000 2013,train
143,295347045798146048,definitely not a white shirt day #bigwet ,Not related,Sun Jan 27 01:46:37 +0000 2013,train
144,295347096125591552,non - essential travel on the sunshine coast tomorrow morning should be cancelled . #bigwet ,Related and informative,Sun Jan 27 01:46:49 +0000 2013,train
145,295348610273513472,trampoline stuck in the top of power pole . unbelievable #bargara #bigwet <URL> ,Related - but not informative,Sun Jan 27 01:52:50 +0000 2013,train
146,295350711628230657,made the right decision to leave . heaps of fallen trees and a downed powerline made for the worst driving conditions i ' ve been in #qldfloods ,Related - but not informative,Sun Jan 27 02:01:11 +0000 2013,train
147,295354293584805888,photo : brisbane river almost bursting its banks at bulimba on high tide . #qldflooding #bigwet <URL> ,Related and informative,Sun Jan 27 02:15:25 +0000 2013,train
148,295354687815839744,follow me on tumblr <URL> #tumblr #satan #allah #bigfun #sex #blah #bigwet #australia please rt . #retweet ,Not related,Sun Jan 27 02:16:59 +0000 2013,train
149,295355887420309504,"during severe weather , you may need to provide first aid while waiting on emergency services - have a first aid kit handy #1staid4 #bigwet ",Related and informative,Sun Jan 27 02:21:45 +0000 2013,train
150,295357208609316864,laughing my butt away from <URL> #bigwet ,Not related,Sun Jan 27 02:27:00 +0000 2013,train
151,295357305090875392,rt <USR> is your mobile phone fully charged ? do you have emergency numbers saved in it ? #bigwet #qld #qldfloods ,Related - but not informative,Sun Jan 27 02:27:23 +0000 2013,train
152,295358001328553984,and <USR> is live . pls let them know where they can help . #bakedrelief #bigwet ,Related - but not informative,Sun Jan 27 02:30:09 +0000 2013,train
153,295358945046953984,haha ! ! - this really is soooo insane ! #bigwet <URL> ,Not related,Sun Jan 27 02:33:54 +0000 2013,train
154,295359003763040256,"bundaberg north residents please evacuate immediately to civic centre , n bundaberg ss or friends & relatives #bigwet ",Related and informative,Sun Jan 27 02:34:08 +0000 2013,train
155,295359033144127488,did you check this out yet ? jessica screaming about old fight again ! ! ! <URL> #bigwet ,Not related,Sun Jan 27 02:34:15 +0000 2013,train
156,295359125414637568,police calling for immediate evacuation of bundaberg north . #bigwet ,Related and informative,Sun Jan 27 02:34:37 +0000 2013,train
157,295359268012556288,new flood warnings for #lockyervalley creeks from bom . #qldfloods #bigwet <URL> ,Related and informative,Sun Jan 27 02:35:11 +0000 2013,train
