id,tweet_id,text,tag,date,partition
4,401992845361291266,#cartoline dalla #sardegna : la gioia di praticare gli sport preferiti godendo dell ' ossigeno e dello iodio di un . . . <URL> ,Not related,Sun Nov 17 08:38:57 +0000 2013,train
5,402096251740512256,il #dolce sardo delle spose <URL> #matrimonio #sardegna #sposa #dolci #torte #sardegna #foodporn ,Not related,Sun Nov 17 15:29:51 +0000 2013,train
0,401665752564244480,#oristano celebra gli avieri sardi morti a #sutri - furono trucidati dai #nazisti nel 1943 #sardegna #guerra . . . <URL> ,Not related,Sat Nov 16 10:59:12 +0000 2013,train
1,401736359511339010,"cala soraya , la nostra spiaggia preferita a spargi , arcipelago di la maddalena , #sardegna . <URL> rt via … ",Related - but not informative,Sat Nov 16 15:39:46 +0000 2013,train
2,401803241887105024,"#instacollage #family <USR> , luigi , giulio , #summermemories #sardegna <URL> ",Not related,Sat Nov 16 20:05:32 +0000 2013,train
3,401824347587088384,#italy #sardinia #cagliari #weekends <URL> ,Not related,Sat Nov 16 21:29:24 +0000 2013,train
6,402358458659262464,"foto - michela murgia , il vestito del campiello venduto all ' asta per 1.250 euro <URL> #sardegna <URL> ",Not related,Mon Nov 18 08:51:46 +0000 2013,train
7,402503078278336513,così il #maltempo ha sconvolto la #sardegna <URL> <URL> ,Related and informative,Mon Nov 18 18:26:26 +0000 2013,train
8,402504831472259072,così il #maltempo ha sconvolto la #sardegna <URL> <URL> ,Related and informative,Mon Nov 18 18:33:24 +0000 2013,train
9,402514218353979393,maltempo in sardegna : alluvione nell ' oristano l ' acuta fase di maltempo a causato allagamenti e anche un morto in . . . <URL> ,Related and informative,Mon Nov 18 19:10:42 +0000 2013,train
10,402520350418026496,"alluvione sardegna , il maltempo uccide : una vittima e due dispersi <URL> ",Related and informative,Mon Nov 18 19:35:04 +0000 2013,train
11,402522179117387776,"l ' #italia in queste ore ha un problema serio di cui nessuno parla , la #sardegna nell ' oristanese è completamente sott ' acqua . tutto normale ? ",Related and informative,Mon Nov 18 19:42:20 +0000 2013,train
12,402527522677874688,"alluvione in sardegna , crolla un altro ponte in provincia di olbia : tante auto coinvolte - meteo web <URL> ",Related and informative,Mon Nov 18 20:03:34 +0000 2013,train
13,402540042683699200,"#alluvione in #sardegna , almeno un morto e 5 dispersi : scenari drammatici [ foto ] - - > <URL> ",Related and informative,Mon Nov 18 20:53:19 +0000 2013,train
14,402545335861788673,"la tristezza infinita di veder che nessun canale o tg apre una finestra sulla mia #sardegna morti , dispersi , sfollati . sardi , s … ",Related and informative,Mon Nov 18 21:14:21 +0000 2013,train
15,402546900349779968,<USR> : #olbia <URL> #emergenza <USR> svegliaaaaaaaaaa . . . . . . #sos #esercito ! ! ! #sardegna ,Related - but not informative,Mon Nov 18 21:20:34 +0000 2013,train
16,402547433043156992,"quattro morti , alcuni dispersi : la #sardegna non fa notizia neanche quando viene flagellata dal maltempo ",Related and informative,Mon Nov 18 21:22:41 +0000 2013,train
17,402547936359624704,"quattro morti , alcuni dispersi : la #sardegna non fa notizia neanche quando viene flagellata dal maltempo ",Related and informative,Mon Nov 18 21:24:41 +0000 2013,train
