id,tweet_id,text,tag,date,partition
3,346417675632787456,haze in singapore continues due to sumatra forest fires . feels like hill station sans the chill . . . ,Related and informative,Mon Jun 17 00:03:04 +0000 2013,train
4,346467243934224387,pall of throat - scratching haze enveloping singapore today . who turned the smoke machine on in indonesia this time ? cough ,Related and informative,Mon Jun 17 03:20:02 +0000 2013,train
5,346472541327618049,shit . . . . . . . #indonesia ; seriously ? ! ? ! ? ! #haze #singapore 😡 <URL> ,Related - but not informative,Mon Jun 17 03:41:05 +0000 2013,train
6,346505416299122688,"<USR> : #haze update : 3 - hour psi climbs to 95 , says <USR> . #sghaze is it an asian thing to get everything to 100 ? ",Related and informative,Mon Jun 17 05:51:43 +0000 2013,train
7,346507647656267776,"if only we could transform all the haze in singapore to cold , fresh mist . ahhh , that would be amazing . ",Related - but not informative,Mon Jun 17 06:00:35 +0000 2013,train
8,346510394916999168,"#sghaze : psi reading hits 100 at 2pm , on brink of unhealthy level . ",Related and informative,Mon Jun 17 06:11:30 +0000 2013,train
9,346511372223385600,"well where ' s my gas mask rt <USR> : #sghaze : psi reading hits 100 at 2pm , on brink of unhealthy level . ",Related and informative,Mon Jun 17 06:15:23 +0000 2013,train
10,346512706016260096,“ <USR> : the sun and haze will soon set singapore ablaze ” ,Related - but not informative,Mon Jun 17 06:20:41 +0000 2013,train
11,346512773108346880,lol lol ! yesterday is melaka kenna the haze . today is singapore 😂 ,Related - but not informative,Mon Jun 17 06:20:57 +0000 2013,train
12,346516384399896576,okay guys one way to make the haze go away from singapore is to put your fans at the window and blow the haze away . ,Related - but not informative,Mon Jun 17 06:35:18 +0000 2013,train
13,346517055471755265,newsinsg : haze approaches ' unhealthy ' level in singapore : singapore ' s haze situation worsened on mo . . . <URL> #singapore ,Related and informative,Mon Jun 17 06:37:58 +0000 2013,train
14,346517349093998592,indonesia is too kind to send their smoke / haze to singapore because they know there ' s dengue cases here . hopefully we are mos … ,Related - but not informative,Mon Jun 17 06:39:08 +0000 2013,train
15,346519223939522561,what if the haze is not a haze but a toxic gas meant to depopulate singapore ? 😮 ,Related - but not informative,Mon Jun 17 06:46:35 +0000 2013,train
16,346523003007430656,hahahahah can you believe this trend . #sghaze #psi ,Related - but not informative,Mon Jun 17 07:01:36 +0000 2013,train
17,346525926449897472,made a right decision not to explore singapore for some street photography . whatta a haze ! <URL> ,Related - but not informative,Mon Jun 17 07:13:13 +0000 2013,train
18,346527155372572673,#haze reaches ‘ unhealthy ’ level in #singapore . psi is 105 at 3pm . #sghaze ,Related and informative,Mon Jun 17 07:18:06 +0000 2013,train
19,346531072856690689,indonesia just what the hell is on fire over there ? the haze in singapore is sibei bad now . ,Related - but not informative,Mon Jun 17 07:33:40 +0000 2013,train
20,346535812428599296,"foreigners , this will happen when you come here to holiday or take pictures of singapore ! happy haze day ! <URL> ",Related - but not informative,Mon Jun 17 07:52:30 +0000 2013,train
21,346536772894855168,"boyboy , you can hashtag all your instagram photos today with #nofilter . #sghaze ",Not related,Mon Jun 17 07:56:19 +0000 2013,train
22,346542863062024192,smog gets into my eyes - heavy haze in singapore . . <URL> ,Related and informative,Mon Jun 17 08:20:31 +0000 2013,train
23,346544712729112576,"singapore weather : hot ho h hu hum humi humid humi hum hu h ha haz haze foreigners , welcome to singapore . ",Related - but not informative,Mon Jun 17 08:27:52 +0000 2013,train
24,346545467699642369,"singapore weather : hot ho h hu hum humi humid humi hum hu h ha haz haze foreigners , welcome to singapore . ",Related - but not informative,Mon Jun 17 08:30:52 +0000 2013,train
25,346545685824417792,"#sghaze update : psi is 111 at 4pm , in the unhealthy range ",Related and informative,Mon Jun 17 08:31:44 +0000 2013,train
26,346549875938312192,"#sghaze update : psi is 111 at 4pm , in the unhealthy range ",Related and informative,Mon Jun 17 08:48:23 +0000 2013,train
27,346550559605657600,"happy haze day , singapore . ",Related - but not informative,Mon Jun 17 08:51:06 +0000 2013,train
28,346551150994137088,"a girl with 83 exs , slash cases here and there , haze suddenly comes up . wtf is happening to singapore 😪 ",Related - but not informative,Mon Jun 17 08:53:27 +0000 2013,train
