,id,tweet_id,text,tag,date,partition
0,20739,260085956235886592,<USR> what did u do . . . . ,n,2012-10-21 20:31:38,train
1,20740,260136681041195008,hangover & exhaustion : 1 . . . . me : 0 . . . . #fail ,n,2012-10-21 23:53:12,train
6416,20741,260474845073129472,<USR> #realtalk ,n,2012-10-22 22:16:57,train
4792,20742,260524322786013184,about the fact i make it on <USR> and i look totally retarded #mylife ,n,2012-10-23 01:33:33,train
4832,21919,260534031664431104,just posted a photo <USR> 90 washington street <URL> ,y,2012-10-23 02:12:08,train
4875,22596,260535901539688448,this kid troyyyy ! ma main jigaboo < 3 <URL> ,n,2012-10-23 02:19:34,train
4881,22686,260536442269356032,<USR> idk fail ? ,n,2012-10-23 02:21:43,train
4876,22597,260536896126595072,getting there : d <URL> ,n,2012-10-23 02:23:31,train
4820,21450,260545996801572864,someone do my religion hw pleaseðÿ ™  ðÿ ™  ðÿ ™  ðÿ ™  ðÿ ™  ðÿ ‘ ¼ ,n,2012-10-23 02:59:41,train
4833,21920,260550285007663104,15 minutes into the presidential debate and the president has mittens scowling and peevish . obama is on it ! ðÿ ‘  ,n,2012-10-23 03:16:43,train
4821,21451,260552013375483904,<USR> how do you update it ! ? ðÿ ˜ § ðÿ ˜ ¦ ðÿ ˜ ® ,n,2012-10-23 03:23:35,train
4800,21301,260553724907380736,what ' s the debate or election all about if romney agrees with almost everything that ' s been done by the present administration . ,n,2012-10-23 03:30:23,train
4863,22239,260555048503898112,romney ' s unraveling . ,n,2012-10-23 03:35:39,train
4801,21302,260555345913585664,still the same policies itemized by the president . is giving tax breaks to the wealthy help grow small businesses ? ask romney ! ,n,2012-10-23 03:36:50,train
4802,21303,260556064741810176,gov . romney looks really uneasy when asked how he ' s going to increase the military spending . ,n,2012-10-23 03:39:41,train
4834,21921,260556432733265920,"<USR> : obama caught mittens in another lie ! "" that was 10 years before you became governor ! "" #debate #obama #debate2012 #admititmitt ",n,2012-10-23 03:41:09,train
4803,21304,260556683070283776,the president is really in his comfort zone ! ,n,2012-10-23 03:42:08,train
4804,21305,260557309971943424,how is gov . romney going to fund all this spending . are we looking to start third world war or be more strategically effective ? ,n,2012-10-23 03:44:38,train
4805,21306,260557463403773952,gov . romney is getting schooled in foreign policy ! ,n,2012-10-23 03:45:14,train
4864,22240,260557720904667136,hardcore schooling ! ,n,2012-10-23 03:46:16,train
4835,21922,260557960256827392,qotd ( made with #jusgramm app ) <USR> <USR> third presidential debate <URL> ,n,2012-10-23 03:47:13,train
4822,21452,260558179451166720,debating wether i should tryout for basketball or notðÿ  € #decisions #help #dontknowwhattodo ðÿ ˜ ” ðÿ ˜ • ,n,2012-10-23 03:48:05,train
4823,21453,260558941338103808,<USR> do you see me and then the other girls . . #nochance #shortpeopleprobz ,n,2012-10-23 03:51:07,train
